unit_id,unit_name,unit_class,spine,duty_family,process_id,fuel_carrier_id,grade_out,grade_in_max,capex,fixed_opex,lifetime,availability_factor,capacity_to_activity_factor,area_per_capacity,emissions_released,min_viable_scale,load_shape_override,is_hybrid,draws_ambient,provenance,confidence,provenance_ref
boiler_lt_gas,"Low-temperature heat boiler, natural gas",converter,service,LTH,,natural_gas,4,,5.6421,0.11284,25,0.9823,1,,1,,,FALSE,FALSE,bref,medium,"[CARB3_WE_FOODDRINK] 1.11 unit table; [COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHNGA01 | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHNGA01/ICRLTHNGA01/IEELTHNGA01... (n=9 sector copies, capex 1.57-4.49, median taken) | [BEIS_IFS2018] Industrial Fuel Switching Market Engagement Study (Element Energy and Jacobs for BEIS, December 2018), section 7.2 technology assumption tables, pp 64-66, row 'Natural gas boiler': capex 166.00 GBP/kW, fixed opex 3.32 GBP/kW/yr, lifetime 25 yr. No price base declared; report dated December 2018, so taken as 2018 money and deflated to 2021 by 95.1126/88.7354 = 1.07187 (COMIT workbook sheet gdp_deflators, 2022 = 100). 1 PJ/yr of capacity = 1e15 J / 31 536 000 s = 31709.8 kW, so 166.00 x 31709.8 x 1e-6 x 1.07187 = 5.6421 GBPm per PJ/yr. Replaces the COMIT value 2.277 | grade_out 4 (decided 2026-09-25 on PR #64, note 20 item 25), was 3: [BEIS_IFS2018] section 3.2.2 and Table 6 (p15) place high-pressure steam at 190-240 C, raised on site; Table 10 makes the gas boiler the counterfactual for steam, and the ""Natural gas boiler"" summary (section 7.3, item 11) is suitable for ""All processes where steam, at different pressures, is used for heating"". The primary output stays heat_100_150, the band its coefficients were declared on. The worked examples rate their units 3 because their duties need no more"
boiler_lt_hydrogen,"Low-temperature heat boiler, hydrogen",converter,service,LTH,,hydrogen,4,,6.7638,0.13528,20,0.9823,1,,1,,,FALSE,FALSE,bref,medium,"[CARB3_WE_FOODDRINK] 1.11 unit table; [COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHHDG01 | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHHDG01/ICRLTHHDG01/IEELTHHDG01... (n=9 sector copies, capex 1.86-5.70, median taken) | [BEIS_IFS2018] Industrial Fuel Switching Market Engagement Study (Element Energy and Jacobs for BEIS, December 2018), section 7.2 technology assumption tables, pp 64-66, row '100% H2 Fuel Boilers': capex 199.00 GBP/kW, fixed opex 3.98 GBP/kW/yr, lifetime 20 yr. No price base declared; report dated December 2018, so taken as 2018 money and deflated to 2021 by 95.1126/88.7354 = 1.07187 (COMIT workbook sheet gdp_deflators, 2022 = 100). 1 PJ/yr of capacity = 1e15 J / 31 536 000 s = 31709.8 kW, so 199.00 x 31709.8 x 1e-6 x 1.07187 = 6.7638 GBPm per PJ/yr. Replaces the COMIT value 2.7594 | grade_out 4 (decided 2026-09-25 on PR #64, note 20 item 25), was 3: [BEIS_IFS2018] section 3.2.2 and Table 6 (p15) place high-pressure steam at 190-240 C, raised on site; Table 10 makes the gas boiler the counterfactual for steam, and the ""100% Hydrogen Boiler"" summary (section 7.3, item 11) is suitable for ""All processes where steam, at different pressures, is used for heating"". The primary output stays heat_100_150, the band its coefficients were declared on. The worked examples rate their units 3 because their duties need no more"
boiler_lt_biomass,"Low-temperature heat boiler, solid biomass",converter,service,LTH,,solid_biomass,4,,17.5042,0.17674,25,0.9123,1,,1,,,FALSE,FALSE,bref,medium,"[CARB3_WE_FOODDRINK] 1.11 unit table; [COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHBIOS01 | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHBIOS01/ICRLTHBIOS01/IEELTHBIOS01... (n=9 sector copies, capex 10.12-20.24, median taken) | [BEIS_IFS2018] Industrial Fuel Switching Market Engagement Study (Element Energy and Jacobs for BEIS, December 2018), section 7.2 technology assumption tables, pp 64-66, row 'Large Biomass Steam Boiler': capex 515.00 GBP/kW, fixed opex 5.20 GBP/kW/yr, lifetime 25 yr. No price base declared; report dated December 2018, so taken as 2018 money and deflated to 2021 by 95.1126/88.7354 = 1.07187 (COMIT workbook sheet gdp_deflators, 2022 = 100). 1 PJ/yr of capacity = 1e15 J / 31 536 000 s = 31709.8 kW, so 515.00 x 31709.8 x 1e-6 x 1.07187 = 17.5042 GBPm per PJ/yr. Replaces the COMIT value 13.4935 | grade_out 4 (decided 2026-09-25 on PR #64, note 20 item 25), was 3: [BEIS_IFS2018] section 3.2.2 and Table 6 (p15) place high-pressure steam at 190-240 C, raised on site; Table 10 makes the gas boiler the counterfactual for steam, and the ""Large Biomass Boiler"" summary (section 7.3, item 11) is suitable for ""All processes where steam, at different pressures, is used for heating"". The primary output stays heat_100_150, the band its coefficients were declared on. The worked examples rate their units 3 because their duties need no more"
boiler_lt_lpg,"Low-temperature heat boiler, LPG",converter,service,LTH,,lpg,3,,1.9228,0.03846,25,0.9823,1,,1,,,FALSE,FALSE,comit_reuse,medium,"[CARB3_WE_FOODDRINK] 1.11 unit table; [COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHLPG01 | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHLPG01/IEELTHLPG01/IFDLTHLPG01... (n=8 sector copies, capex 1.57-4.49, median taken)"
boiler_lt_coal,"Low-temperature heat boiler, coal",converter,service,LTH,,coal,3,,10.8819,0.81614,25,0.9707,1,,1,,,FALSE,FALSE,comit_reuse,medium,"[CARB3_WE_FOODDRINK] 1.11 unit table; [COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHHCO01 | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHHCO01/IEELTHHCO01/IFDLTHHCO01... (n=7 sector copies, capex 8.16-16.32, median taken)"
boiler_lt_oil,"Low-temperature heat boiler, light fuel oil",converter,service,LTH,,light_fuel_oil,3,,1.9228,0.03846,25,0.9823,1,,1,,,FALSE,FALSE,proxy,low,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHLPG01 category Oil; carrier light_fuel_oil separated from lpg by carrier.csv | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHLPG01/IEELTHLPG01/IFDLTHLPG01... (n=8 sector copies, capex 1.57-4.49, median taken) | PROXY: no COMIT row for this fuel; taken from the LPG boiler, the nearest liquid-fuel row COMIT has"
boiler_lt_biomethane,"Low-temperature heat boiler, biomethane",converter,service,LTH,,biomethane,3,,2.277,0.04554,25,0.9823,1,,1,,,FALSE,FALSE,proxy,low,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHNGA01 fuel commodity IND_NGABOM = gas + biomethane; carrier.csv splits INDMAINSBOM out | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHNGA01/ICRLTHNGA01/IEELTHNGA01... (n=9 sector copies, capex 1.57-4.49, median taken) | PROXY: no COMIT row for this fuel; taken from the natural-gas boiler; COMIT's IND_NGABOM is gas and biomethane together"
resistance_heater_lt,Low-temperature electric resistance heater,converter,service,LTH,,electricity,4,,4.0786,0.08157,15,0.9862,1,,1,,,FALSE,FALSE,bref,medium,"[CARB3_WE_FOODDRINK] 1.11 unit table; [COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHELC01 | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHELC01/ICRLTHELC01/IEELTHELC01... (n=9 sector copies, capex 3.86-5.61, median taken) | [BEIS_IFS2018] Industrial Fuel Switching Market Engagement Study (Element Energy and Jacobs for BEIS, December 2018), section 7.2 technology assumption tables, pp 64-66, row 'Electrode Steam Boiler (large)': capex 120.00 GBP/kW, fixed opex 2.40 GBP/kW/yr, lifetime 15 yr. No price base declared; report dated December 2018, so taken as 2018 money and deflated to 2021 by 95.1126/88.7354 = 1.07187 (COMIT workbook sheet gdp_deflators, 2022 = 100). 1 PJ/yr of capacity = 1e15 J / 31 536 000 s = 31709.8 kW, so 120.00 x 31709.8 x 1e-6 x 1.07187 = 4.0786 GBPm per PJ/yr. Replaces the COMIT value 4.9221 | grade_out 4 (decided 2026-09-25 on PR #64, note 20 item 25), was 3: [BEIS_IFS2018] section 3.2.2 and Table 6 (p15) place high-pressure steam at 190-240 C, raised on site; Table 10 makes the gas boiler the counterfactual for steam, and the ""Electrode Steam Boiler (large)"" summary (section 7.3, item 11) is suitable for ""All processes where steam, at different pressures, is used for heating"". The primary output stays heat_100_150, the band its coefficients were declared on. The worked examples rate their units 3 because their duties need no more"
heat_pump_lt_air,Low-temperature air-source heat pump,converter,service,LTH,,electricity,2,,15.2949,0.3059,20,0.9808,1,,1,,,FALSE,TRUE,bref,medium,"[CARB3_WE_FOODDRINK] 1.11 unit table; [COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHELCHP01 | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHELCHP01/ICRLTHELCHP01/IEELTHELCHP01... | [BEIS_IFS2018] Industrial Fuel Switching Market Engagement Study (Element Energy and Jacobs for BEIS, December 2018), section 7.2 technology assumption tables, pp 64-66, row 'CL Heat Pump': capex 450.00 GBP/kW, fixed opex 9.00 GBP/kW/yr, lifetime 20 yr. No price base declared; report dated December 2018, so taken as 2018 money and deflated to 2021 by 95.1126/88.7354 = 1.07187 (COMIT workbook sheet gdp_deflators, 2022 = 100). 1 PJ/yr of capacity = 1e15 J / 31 536 000 s = 31709.8 kW, so 450.00 x 31709.8 x 1e-6 x 1.07187 = 15.2949 GBPm per PJ/yr. Replaces the COMIT value 25.4549"
heat_pump_lt_reject,Low-temperature heat pump on recovered reject heat,converter,service,LTH,,electricity,2,1,10.1966,0.20393,20,0.9808,1,,1,,,FALSE,FALSE,bref,medium,"[CARB3_WE_FOODDRINK] 1.11 unit table; [COMIT_TAXONOMY_140] comit_sector_processes.csv, technology_code IFDLTHELCHP01 | [COMIT_WB_140] sheet Technologies, technology_code ICHLTHELCHP01/ICRLTHELCHP01/IEELTHELCHP01... | PROXY: no COMIT row for this fuel; taken from the air-source heat pump; COMIT has one flat-COP heat pump row (the defect B4 fixes) | [BEIS_IFS2018] Industrial Fuel Switching Market Engagement Study (Element Energy and Jacobs for BEIS, December 2018), section 7.2 technology assumption tables, pp 64-66, row 'OL Heat Pump (MVR)': capex 300.00 GBP/kW, fixed opex 6.00 GBP/kW/yr, lifetime 20 yr. No price base declared; report dated December 2018, so taken as 2018 money and deflated to 2021 by 95.1126/88.7354 = 1.07187 (COMIT workbook sheet gdp_deflators, 2022 = 100). 1 PJ/yr of capacity = 1e15 J / 31 536 000 s = 31709.8 kW, so 300.00 x 31709.8 x 1e-6 x 1.07187 = 10.1966 GBPm per PJ/yr. Replaces the COMIT value 25.4549"
