scope,challenge
library,"TRL scales differ across sources: IEA uses an extended 1-11 scale (TRL 10 = commercial & competitive, TRL 11 = predictable growth) while UK/EU sources use 1-9; ranges like '9-11' are quoted as published rather than converted."
library,"Most flagship UK government studies (Element Energy/Jacobs 2018, Element Energy for CCC 2020, Hy4Heat WP6, ERM NRMM 2023 main text) use qualitative maturity classes or 'first year available' dates instead of numeric TRLs; the numeric TRLs here come disproportionately from IEA (CCUS), Agora/Fraunhofer ISI 2024, TNO factsheets, IEA HPT Annex 58/de Boer, and project-level DESNZ IFS reports."
library,The IEA ETP Clean Energy Technology Guide is an interactive tool whose per-technology TRLs could not be programmatically accessed; IEA TRLs were taken from the CCUS in Clean Energy Transitions report chapter instead.
library,"No published numeric TRL could be located for: generic waste heat recovery, controls/VSDs, compressed air optimisation, insulation, hydrogen-ready equipment, ammonia as an industrial process-heat fuel, waste-derived fuels, solar thermal SHIP, infrared heating, onsite solar PV, and battery/hydrogen NRMM (numeric TRLs exist in ERM 2023 Appendix 9.8 but were not extractable) - these carry trl: null."
library,"de Boer et al. (2020) TRL statements for the 100-150C and 150-200C bands are phrased as innovation-programme targets as much as status ratings; IEA HPT Annex 58 (2023) corroborates current availability (to ~120C now, ~160C emerging)."
library,Some TRLs are application-specific rather than generic: Essity's TRL 5 (rising to 8) applies to H2 Yankee-hood drying specifically; CalNEXT microwave TRLs vary 3-9 by application; plasma torches are TRL 7-9 as hardware but 'low TRL' in calcination integration.
library,For HVO and biomethane the numeric TRL rests on commercial-status statements or consultation-response evidence rather than a formal TRL assessment; confidence set to medium.
library,CCS options are defined generically with 'displaces' empty since they abate rather than displace fuels.
minerals,"Ceramics UK roadmap technical appendix (which contains sector TRL ratings) returned HTTP 429 and could not be fetched, so several ceramics options carry trl null with status-based evidence instead of published TRL numbers."
minerals,"Few minerals-sector options have published numeric TRLs; TRL was set to 9 only where commercial deployment is documented (e.g. warm mix asphalt as National Highways default, O.C.O carbonated aggregate UK plants) and left null otherwise per the rules."
