carb3_activity,shape_id,process_id,shape_class,duty_factor,peak_to_mean,runs_when_idle,seasonality,provenance,confidence
Abattoir / Slaughter House,abattoir_slaughter_house__refrigeration_chilling,refrigeration_chilling,standing,,,TRUE,summer_weighted,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('ammonia refrigeration plant; blast chillers; cold stores') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Abattoir / Slaughter House,abattoir_slaughter_house__slaughter_line_processing,slaughter_line_processing,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('line drives; carcass saws; hide puller; effluent plant') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Abattoir / Slaughter House,abattoir_slaughter_house__hot_water_sterilisation_cleaning,hot_water_sterilisation_cleaning,batch_cyclic,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('hot water boiler; 85°C steriliser loops; 45°C washdown') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists batch ovens, autoclaves, curing and electric melting under batch_cyclic)",low
Abattoir / Slaughter House,abattoir_slaughter_house__scalding_singeing,scalding_singeing,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('scald tank; singe furnace') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Abattoir / Slaughter House,abattoir_slaughter_house__compressed_air,compressed_air,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('air compressors') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Abattoir / Slaughter House,abattoir_slaughter_house__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('lighting boards; offices; canteen') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Aggregate/Mineral Processing Plant / Depot,aggregate_mineral_processing_plant_depot__crushing,crushing,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('cone crusher; impact crusher') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Aggregate/Mineral Processing Plant / Depot,aggregate_mineral_processing_plant_depot__screening,screening,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('vibrating screens') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Aggregate/Mineral Processing Plant / Depot,aggregate_mineral_processing_plant_depot__conveying,conveying,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('belt conveyors; radial stackers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Aggregate/Mineral Processing Plant / Depot,aggregate_mineral_processing_plant_depot__washing_classification,washing_classification,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('sand classifiers; wash barrels; water pumps') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
