scenario_id,carrier,cluster_id,period,available,capacity_limit,unit_tariff,provenance
published_2026,co2_transport,teesside,2021,FALSE,,,"[CCUS_COLLECTION_2026] East Coast Cluster: ""on 10 December 2024 the Transport and Storage Network for ECC, and the project Net Zero Teesside reached financial close""; projects ""set to begin construction from mid-2025 and become operational from 2028"". 2028 falls between model periods, so the first period marked available is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,teesside,2025,FALSE,,,"[CCUS_COLLECTION_2026] East Coast Cluster: ""on 10 December 2024 the Transport and Storage Network for ECC, and the project Net Zero Teesside reached financial close""; projects ""set to begin construction from mid-2025 and become operational from 2028"". 2028 falls between model periods, so the first period marked available is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,teesside,2030,TRUE,,,"[CCUS_COLLECTION_2026] East Coast Cluster: ""on 10 December 2024 the Transport and Storage Network for ECC, and the project Net Zero Teesside reached financial close""; projects ""set to begin construction from mid-2025 and become operational from 2028"". 2028 falls between model periods, so the first period marked available is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,teesside,2035,TRUE,,,"[CCUS_COLLECTION_2026] East Coast Cluster: ""on 10 December 2024 the Transport and Storage Network for ECC, and the project Net Zero Teesside reached financial close""; projects ""set to begin construction from mid-2025 and become operational from 2028"". 2028 falls between model periods, so the first period marked available is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,teesside,2040,TRUE,,,"[CCUS_COLLECTION_2026] East Coast Cluster: ""on 10 December 2024 the Transport and Storage Network for ECC, and the project Net Zero Teesside reached financial close""; projects ""set to begin construction from mid-2025 and become operational from 2028"". 2028 falls between model periods, so the first period marked available is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,teesside,2045,TRUE,,,"[CCUS_COLLECTION_2026] East Coast Cluster: ""on 10 December 2024 the Transport and Storage Network for ECC, and the project Net Zero Teesside reached financial close""; projects ""set to begin construction from mid-2025 and become operational from 2028"". 2028 falls between model periods, so the first period marked available is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,teesside,2050,TRUE,,,"[CCUS_COLLECTION_2026] East Coast Cluster: ""on 10 December 2024 the Transport and Storage Network for ECC, and the project Net Zero Teesside reached financial close""; projects ""set to begin construction from mid-2025 and become operational from 2028"". 2028 falls between model periods, so the first period marked available is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber,2021,FALSE,,,"[CCUS_COLLECTION_2026] the East Coast Cluster is described as covering Teesside and the Humber; ECC Transport and Storage reached financial close 10 December 2024 and becomes ""operational from 2028"". First model period on or after 2028 is 2030. Caveat: the Humber leg is a later phase of the Northern Endurance pipeline than the Teesside leg and no separate Humber date is published. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber,2025,FALSE,,,"[CCUS_COLLECTION_2026] the East Coast Cluster is described as covering Teesside and the Humber; ECC Transport and Storage reached financial close 10 December 2024 and becomes ""operational from 2028"". First model period on or after 2028 is 2030. Caveat: the Humber leg is a later phase of the Northern Endurance pipeline than the Teesside leg and no separate Humber date is published. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber,2030,TRUE,,,"[CCUS_COLLECTION_2026] the East Coast Cluster is described as covering Teesside and the Humber; ECC Transport and Storage reached financial close 10 December 2024 and becomes ""operational from 2028"". First model period on or after 2028 is 2030. Caveat: the Humber leg is a later phase of the Northern Endurance pipeline than the Teesside leg and no separate Humber date is published. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber,2035,TRUE,,,"[CCUS_COLLECTION_2026] the East Coast Cluster is described as covering Teesside and the Humber; ECC Transport and Storage reached financial close 10 December 2024 and becomes ""operational from 2028"". First model period on or after 2028 is 2030. Caveat: the Humber leg is a later phase of the Northern Endurance pipeline than the Teesside leg and no separate Humber date is published. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber,2040,TRUE,,,"[CCUS_COLLECTION_2026] the East Coast Cluster is described as covering Teesside and the Humber; ECC Transport and Storage reached financial close 10 December 2024 and becomes ""operational from 2028"". First model period on or after 2028 is 2030. Caveat: the Humber leg is a later phase of the Northern Endurance pipeline than the Teesside leg and no separate Humber date is published. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber,2045,TRUE,,,"[CCUS_COLLECTION_2026] the East Coast Cluster is described as covering Teesside and the Humber; ECC Transport and Storage reached financial close 10 December 2024 and becomes ""operational from 2028"". First model period on or after 2028 is 2030. Caveat: the Humber leg is a later phase of the Northern Endurance pipeline than the Teesside leg and no separate Humber date is published. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber,2050,TRUE,,,"[CCUS_COLLECTION_2026] the East Coast Cluster is described as covering Teesside and the Humber; ECC Transport and Storage reached financial close 10 December 2024 and becomes ""operational from 2028"". First model period on or after 2028 is 2030. Caveat: the Humber leg is a later phase of the Northern Endurance pipeline than the Teesside leg and no separate Humber date is published. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber2,2021,FALSE,,,"[CCUS_COLLECTION_2026] as for cluster humber - the East Coast Cluster covers Teesside and the Humber, operational from 2028, first model period on or after 2028 is 2030. humber2 is COMIT's second Humberside centre and no cluster-specific date is published for it. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber2,2025,FALSE,,,"[CCUS_COLLECTION_2026] as for cluster humber - the East Coast Cluster covers Teesside and the Humber, operational from 2028, first model period on or after 2028 is 2030. humber2 is COMIT's second Humberside centre and no cluster-specific date is published for it. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber2,2030,TRUE,,,"[CCUS_COLLECTION_2026] as for cluster humber - the East Coast Cluster covers Teesside and the Humber, operational from 2028, first model period on or after 2028 is 2030. humber2 is COMIT's second Humberside centre and no cluster-specific date is published for it. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber2,2035,TRUE,,,"[CCUS_COLLECTION_2026] as for cluster humber - the East Coast Cluster covers Teesside and the Humber, operational from 2028, first model period on or after 2028 is 2030. humber2 is COMIT's second Humberside centre and no cluster-specific date is published for it. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber2,2040,TRUE,,,"[CCUS_COLLECTION_2026] as for cluster humber - the East Coast Cluster covers Teesside and the Humber, operational from 2028, first model period on or after 2028 is 2030. humber2 is COMIT's second Humberside centre and no cluster-specific date is published for it. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber2,2045,TRUE,,,"[CCUS_COLLECTION_2026] as for cluster humber - the East Coast Cluster covers Teesside and the Humber, operational from 2028, first model period on or after 2028 is 2030. humber2 is COMIT's second Humberside centre and no cluster-specific date is published for it. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,humber2,2050,TRUE,,,"[CCUS_COLLECTION_2026] as for cluster humber - the East Coast Cluster covers Teesside and the Humber, operational from 2028, first model period on or after 2028 is 2030. humber2 is COMIT's second Humberside centre and no cluster-specific date is published for it. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,mersey,2021,FALSE,,,"[HYNET_T1_EXPANSION_2026] HyNet ""anchor and build-out projects are expected to be operational from 2028""; [CCUS_COLLECTION_2026] ""on 24 April 2025, the Transport and Storage Network for HyNet also reached financial close"". First model period on or after 2028 is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,mersey,2025,FALSE,,,"[HYNET_T1_EXPANSION_2026] HyNet ""anchor and build-out projects are expected to be operational from 2028""; [CCUS_COLLECTION_2026] ""on 24 April 2025, the Transport and Storage Network for HyNet also reached financial close"". First model period on or after 2028 is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,mersey,2030,TRUE,,,"[HYNET_T1_EXPANSION_2026] HyNet ""anchor and build-out projects are expected to be operational from 2028""; [CCUS_COLLECTION_2026] ""on 24 April 2025, the Transport and Storage Network for HyNet also reached financial close"". First model period on or after 2028 is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,mersey,2035,TRUE,,,"[HYNET_T1_EXPANSION_2026] HyNet ""anchor and build-out projects are expected to be operational from 2028""; [CCUS_COLLECTION_2026] ""on 24 April 2025, the Transport and Storage Network for HyNet also reached financial close"". First model period on or after 2028 is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,mersey,2040,TRUE,,,"[HYNET_T1_EXPANSION_2026] HyNet ""anchor and build-out projects are expected to be operational from 2028""; [CCUS_COLLECTION_2026] ""on 24 April 2025, the Transport and Storage Network for HyNet also reached financial close"". First model period on or after 2028 is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,mersey,2045,TRUE,,,"[HYNET_T1_EXPANSION_2026] HyNet ""anchor and build-out projects are expected to be operational from 2028""; [CCUS_COLLECTION_2026] ""on 24 April 2025, the Transport and Storage Network for HyNet also reached financial close"". First model period on or after 2028 is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,mersey,2050,TRUE,,,"[HYNET_T1_EXPANSION_2026] HyNet ""anchor and build-out projects are expected to be operational from 2028""; [CCUS_COLLECTION_2026] ""on 24 April 2025, the Transport and Storage Network for HyNet also reached financial close"". First model period on or after 2028 is 2030. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,grangemouth,2021,FALSE,,,"[CCUS_TRACK2_2023] Acorn was selected for Track-2 and remains ""subject to final decisions, due diligence, consenting, subsidy control, affordability and value for money assessments""; [CCUS_COLLECTION_2026] records Track-2 decisions as still to be taken after the 2025 Spending Review. No operational date is published, so no period can be marked available on published evidence - FALSE here is the absence of a published date, not a published forecast of unavailability. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,grangemouth,2025,FALSE,,,"[CCUS_TRACK2_2023] Acorn was selected for Track-2 and remains ""subject to final decisions, due diligence, consenting, subsidy control, affordability and value for money assessments""; [CCUS_COLLECTION_2026] records Track-2 decisions as still to be taken after the 2025 Spending Review. No operational date is published, so no period can be marked available on published evidence - FALSE here is the absence of a published date, not a published forecast of unavailability. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
published_2026,co2_transport,grangemouth,2030,FALSE,,,"[CCUS_TRACK2_2023] Acorn was selected for Track-2 and remains ""subject to final decisions, due diligence, consenting, subsidy control, affordability and value for money assessments""; [CCUS_COLLECTION_2026] records Track-2 decisions as still to be taken after the 2025 Spending Review. No operational date is published, so no period can be marked available on published evidence - FALSE here is the absence of a published date, not a published forecast of unavailability. unit_tariff blank: no published tariff. Spec 3.7 marks it required; the brief overrides with ""Tariffs blank unless published"""
