unit_id,component_id,capacity_share,capex_share,component_lifetime,replacements_in_life,provenance,provenance_ref
pv_battery_2h,pv,0.66667,0.51667,30,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share = 0.62 / 1.20, where 1.20 = 0.62 PV + 2 x (0.58 x 0.5) battery over the package's 30 years"
pv_battery_2h,battery_2h,0.33333,0.48333,15,1,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share = 0.58 / 1.20; battery life 15 yr against the package's 30 gives one replacement"
pv_battery_4h,pv,0.66667,,30,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
pv_battery_4h,battery_4h,0.33333,,15,1,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
pv_battery_8h,pv,0.66667,,30,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
pv_battery_8h,battery_8h,0.33333,,15,1,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
chp_thermal_store_2h,chp_gas_turbine,0.66667,,25,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
chp_thermal_store_2h,thermal_store_hot_water,0.33333,,,,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | component_lifetime blank: no sourced life for a hot-water store | capex_share blank: no sourced cost for this component at this duration"
electrolyser_battery_2h,electrolyser_pem,0.66667,,30,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
electrolyser_battery_2h,battery_2h,0.33333,,15,1,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
hp_thermal_store_2h,heat_pump_lt_air,0.66667,,20,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
hp_thermal_store_2h,thermal_store_hot_water,0.33333,,,,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | component_lifetime blank: no sourced life for a hot-water store | capex_share blank: no sourced cost for this component at this duration"
