option_id,option_name,option_class,displaces,duty,trl,trl_basis,key_constraints,uk_status,scope,provenance,confidence
abattoir_byproduct_ad,Anaerobic digestion of slaughterhouse by-products and paunch waste,bioenergy,gas,"Biogas from blood, gut contents, sludges and low-risk ABP fractions to fuel site boilers/CHP",,No formal TRL; peer-reviewed studies of slaughterhouse by-product AD and operating plants in Europe; AHDB guidance for livestock waste AD,Animal by-product regulations (pasteurisation/Cat 2-3 handling); ammonia inhibition of digesters; feedstock competes with rendering,"Commercial technology; UK deployment site-specific, often via off-site AD/rendering rather than on-site plants",sector_specific,[SD_SLAUGHTER_AD] Peer-reviewed work on AD of slaughterhouse by-products; AHDB AD guidance,medium
ad_chp_heat_integration,Full use of biogas CHP jacket/exhaust heat for digester heating and pasteurisation,efficiency_heat_recovery,natural_gas; heating_oil,"Parasitic heat loads (digester ~40C, pasteurisation ~70C) met from own CHP heat",9,Standard practice at UK AD plants; ADBA documents CHP heat use incl. 50-70C digestate evaporation at Barkip,Only applies where CHP retained; heat availability varies with engine load; competes with heat export revenue,Widely deployed; ADBA estimates 135MWth of CHP heat still wasted UK-wide,sector_specific,[REF_ADBA_HEAT] ADBA sector guidance on using biogas CHP heat,high
ad_heat_pump_digester_heating,Heat pumps for digester heating and pasteurisation (freeing biogas for upgrading),electrification,biogas; natural_gas,Electric heat pumps supply 40-70C digester/pasteuriser heat instead of burning biogas,,"No published TRL located; techno-economic/modelling assessment stage for this duty (Bioresource Technology, 2022); component heat pumps are TRL 9","Low-grade heat source needed for good COP (digestate, effluent); interacts with upgrading economics; grid capacity",Studied; not standard practice at UK AD sites,sector_specific,[REF_BITE22] Peer-reviewed assessment of AD + heat pump integration,medium
air_to_air_hp_warm_air,High-temperature air-to-air heat pumps replacing gas warm-air heaters,electrification,gas,Direct replacement of gas-fired warm-air unit heaters in high-bay workshops and warehouses with air-to-air heat pump units (no wet distribution system),9,Air-to-air heat pump / VRF equipment is fully commercial worldwide; DESNZ/ERM rates heat pumps generally TRL 7-9,Discharge air temperature lower than gas warm-air heaters so more units/airflow needed; high-bay mounting and stratification management; refrigerant charge (F-gas) limits on large splits; electrical capacity,Commercial products available; less common than air-to-water in UK industrial retrofit practice,sector_specific,[REF_UKBCH_ASHP] UK Business Climate Hub covers air-source heat pumps including air-to-air units for business buildings,medium
alkali_activated_binder,Alkali-activated / geopolymer cement-free binders (e.g. Cemfree),process_change,process_co2; kiln_fuel,Replace Portland cement entirely with alkali-activated GGBS/PFA binder systems,,No numeric TRL located; reviews describe industrially available production technologies; niche commercial UK use,Activator cost/supply; reliance on constrained GGBS/PFA; no harmonised EN design standard (PAS 8820 route); durability track record; supplier fragility (Cemfree parent DB Group entered administration 2024),"Niche commercial: Cemfree used by Network Rail, Environment Agency and others",sector_specific,[R_AAM] Heliyon 2023 review of alkali-activated cement production technologies; ICE Network Rail Cemfree case (R_CEMFREE),medium
ammonia_industrial_fuel,Ammonia as a direct combustion fuel for industry,hydrogen,gas; coal; oil,Boiler/furnace fuel or co-firing; hydrogen carrier for sites without pipeline H2,,"No published numeric TRL for industrial process heat located. Alnajideen et al. (2024, Carbon Neutrality) review notes barriers 'to overcome before reaching full commercial maturity' (NOx, flame stability, materials); single-fuel burner tests reported by OEMs (e.g. MHI, 2023)","N2O/NOx and ammonia slip; low flame speed needs burner redesign; toxicity, storage and permitting; ammonia supply chain; energy penalty vs direct H2",None for process heat; research stage,cross_cutting,"[ALNAJIDEEN2024] Review-wide maturity statements; no TRL assigned by source, hence null",low
ashp_space_heating_industrial,Air-source heat pump space heating for industrial buildings,electrification,gas,"Space heating of factories, workshops and depots via air-to-water heat pumps serving AHU coils, fan convectors or radiant panels",9,"Mature mass-market technology; DESNZ/ERM 'Future Opportunities for Electrification' rates industrial heat pumps TRL 7-9, with sub-100C space-heat duties at the top of the range",Electrical supply capacity; external plant space; lower flow temperatures require larger emitters or AHU coil changes; poor building fabric inflates capacity and cost; COP falls at design outdoor conditions,Commercial; active UK supplier base and government-backed SME guidance (UK Business Climate Hub); uptake limited by capex and electricity/gas price ratio,sector_specific,[REF_UKBCH_ASHP] UK Business Climate Hub guidance on ASHPs for business premises,high
battery_electric_nrmm,Battery-electric mobile plant / non-road mobile machinery,mobile_plant,oil,"Motive power for forklifts, loaders, excavators, telehandlers, yard vehicles; best for low/medium-power duty cycles",,"ERM techno-economic feasibility study for DESNZ (2023) holds TRLs in Appendix 9.8 (not extractable in this review) and rates battery electric 'commercially available' for multiple archetypes; DESNZ CfE summary (2025) records respondents arguing 'electric machinery should be higher [TRL], mostly for low to medium archetypes'",Site charging infrastructure and grid connection; duty-cycle/shift length ('not capable of doing a full day's work on a single charge yet' for some archetypes); capex premium; cold/heavy duty limits,Deployed for small machinery (electric forklifts mainstream); demonstration for heavy plant,cross_cutting,[ERM_NRMM2023] Availability matrix Table 4; numeric TRLs exist in Appendix 9.8 but could not be extracted - flagged in challenges,medium
bf_biochar_injection,Biochar/charcoal injection in blast furnace (Bio-PCI),bioenergy,pulverised coal (PCI),Substituting biogenic char for pulverised injection coal at BF tuyeres,6-7,Commercially practised in Brazilian charcoal mini blast furnaces; partial substitution in large BFs assessed at pilot/trial scale (Bio-PCI techno-economic literature),Sustainable biomass availability at scale; char mechanical/combustion properties; ~40-50% PCI substitution ceiling in large BFs,No UK trials reported; declining relevance with BF closures,sector_specific,[REF_BIOPCI] Peer-reviewed study of charcoal injection (Bio-PCI) CO2 reduction potential and economics,medium
bf_h2_injection,Hydrogen injection into blast furnace tuyeres,hydrogen,pulverised coal (PCI),"Partial replacement of PCI coal with hydrogen injected at BF tuyeres, cutting CO2 up to ~20% at full deployment",5-6,"thyssenkrupp Duisburg BF9 single-tuyere trials (2019-2021, first test phase concluded); H2Stahl project scaling to full tuyere set — demonstration stage, not commercial",Coke still required for burden support; limited abatement ceiling (~20%); hydrogen supply and cost; burner/tuyere modifications,UK relevance closing as Port Talbot BFs shut (2024) and Scunthorpe transitions; option only relevant while BFs continue operating,sector_specific,[REF_TKH2] thyssenkrupp Steel press release on completed first hydrogen injection test phase,high
bio_feedstock_co_processing,Bio-feedstock co-processing in refinery units,bioenergy,crude_feedstock,Co-processing biogenic feedstocks (e.g. used cooking oil) in hydrotreaters/FCC for renewable fuels,9,Commercial at Phillips 66 Humber refinery since 2018 (first UK SAF/renewable diesel production by co-processing),Feedstock availability and cost; catalyst/metallurgy limits on blend ratio; benefit mainly lifecycle/scope 3,Commercial at Humber refinery,sector_specific,[p66_renewables] Phillips 66 UK renewable fuels programme at Humber,high
biocarbon_fuel_substitution,"Biocarbon substitution for coke/coal in sinter, EAF and cupola",bioenergy,coke breeze; anthracite; foundry coke,"Biochar/biocoke replacing fossil carbon as sinter-plant solid fuel, EAF charge/injection carbon and foundry cupola coke",5-7,"Review evidence (Fuel, 2023) of pilot and industrial trials of biochar in sintering, EAF slag foaming/charge carbon and cokemaking blends; not yet standard practice","Char reactivity, strength and ash chemistry differ from coke; supply chain immature; cost premium",Identified in UK/EU steel and foundry decarbonisation literature; limited UK trials,sector_specific,[REF_BIOCHAR_REV] Review: 'To what extent could biochar replace coal and coke in steel industries?',medium
biogas_upgrading_grid_injection,Biogas upgrading to biomethane for grid injection (in place of onsite CHP),process_change,natural_gas,Site output shifted from electricity+heat to biomethane export; parasitic heat re-provided by heat pumps/boilers,9,Membrane/water-wash upgrading commercially deployed at UK AD plants (ADBA sector material),Gas grid proximity and entry costs; loses free CHP heat so parasitic heating must be re-provided; policy-dependent (GGSS) economics,Commercial and growing under Green Gas Support Scheme,sector_specific,"[REF_ADBA_HEAT] ADBA biogas-use guidance; upgrading vs CHP trade-off is sector-standard, note ref is general ADBA material",medium
biomass_boiler,Biomass boilers (solid biomass steam/hot water),bioenergy,gas; oil; coal,Steam and hot water to conventional boiler conditions; baseload site heat,9,CCC/Element Energy assumptions log (2019): 'Biomass Steam Boiler 2018' in the 'Date when TRL 9 achieved' rollout table (i.e. TRL 9 since before 2018); Element Energy/Jacobs for BEIS (2018) classify biomass boilers as 'already commercially available',Sustainable feedstock supply and price; fuel storage/handling space; air-quality permitting (PM/NOx); CCC cautions on best-use of finite biomass,Deployed at many UK sites (RHI legacy),cross_cutting,[CCC_LOG2019] Rollout table p11; EE_JACOBS2018 maturity classification,high
biomethane_fuel,Biomethane (grid-injected or onsite AD) as natural gas substitute,bioenergy,gas,"Drop-in for any natural-gas duty (boilers, kilns, CHP) with no equipment change",8-9,DESNZ/DfT NRMM CfE summary of responses (2025) records that 'biomethane is already at a TRL level of 8+'; anaerobic digestion and upgrading operate commercially at scale in the UK (grid injection),Feedstock availability caps volumes; certificate/market cost premium; competition with other biomethane uses; onsite AD needs feedstock logistics and space,Deployed - 100+ UK grid-injection plants; used via green gas certificates,cross_cutting,[DESNZ_NRMM_CFE2025] Respondent-evidence TRL statement (vehicle-fuel context) - weakest of the numeric TRLs used; see challenges,medium
building_fabric_upgrade,"Building fabric upgrade (insulation, air-tightness, doors)",efficiency_heat_recovery,gas,"Roof and wall insulation, air-tightness, rapid-action doors and glazing improvements to reduce space-heat demand and enable smaller low-carbon heating plant",,No published TRL; mature construction practice,Disruption and roof access; marginal economics on short remaining building life or leased premises (landlord-tenant split incentive),Fully commercial; Carbon Trust estimates up to 15% total energy bill savings from fabric measures,sector_specific,[REF_CT_FABRIC] Carbon Trust Building Fabric guide covers insulation and air-tightness measures for industrial buildings,high
calcined_clay_lc3,Limestone calcined clay cement (LC3),process_change,process_co2; kiln_fuel,Ternary clinker-calcined clay-limestone cement cutting CO2 up to ~40% vs OPC,,No numeric TRL located; peer-reviewed reviews describe progression from lab to industrial application with commercial production in several countries,"Requires suitable kaolinitic clay and clay calciner investment (~800C heat, itself needing decarbonisation); colour acceptance; UK standards adoption; no UK production line yet",Not yet produced in UK; standards routes emerging,sector_specific,[R_LC3_REV] Heliyon 2024 comprehensive LC3 review; LC3 project site (R_LC3) reports ~40 companies in 25 countries engaged and up to 40% CO2 reduction,medium
calcium_looping_ccs,Calcium looping CO2 capture,ccs_ccu,,"High-temperature CaO/CaCO3 looping capture, well suited to cement/lime flue gas with heat recovery",5-7,"IEA CCUS in Clean Energy Transitions (2020): calcium looping 'currently at TRL 5-6, have been tested, mostly at the pilot plant scale'; Islam & Patlolla (2025): CaL 'advanced rapidly to TRL 6-7 and has been tested in several pilot plants'",CO2 T&S dependence; oxy-fired calciner adds ASU; sorbent degradation; major process integration/rebuild; pilot scale only,None; EU pilots (e.g. CLEANKER),cross_cutting,"[IEA_CCUS2020] IEA gives 5-6; ISLAM2025 gives 6-7 - range spans both, per instruction on disagreement",medium
carbonated_manufactured_aggregate,"Carbonated manufactured aggregate (accelerated carbonation of residues, e.g. O.C.O Technology)",ccs_ccu,virgin_aggregate; process_co2,Manufactured limestone aggregate from APCr + CO2 used in building blocks,9,"Commercial UK operation: O.C.O (ex-Carbon8) operates UK plants and has treated >500,000 t of APCr; product used in block manufacture",Feedstock (air pollution control residues) availability and plant siting; block-spec approvals; CO2 sourcing,Commercial in UK; aggregate supplied to UK blockmakers,sector_specific,[R_OCO] O.C.O Technology pages; UKGBC solution listing (R_UKGBC) for manufactured limestone aggregate,high
carbonation_curing_precast,CO2 (carbonation) curing of precast concrete and blocks,ccs_ccu,gas; process_co2,"Cure unreinforced precast products in CO2-rich chambers, sequestering CO2 and replacing steam/heat curing",,No numeric TRL located; peer-reviewed industrial demonstration study of CO2 mineralisation curing published (2022),"Sealed curing chambers and CO2 supply; standards acceptance; best for unreinforced products (carbonation lowers pH, unsuitable for reinforced elements); cycle time management",Not deployed at scale in UK; demonstrations overseas,sector_specific,[R_CO2CURE] Industrial demonstration study on CO2 mineralization curing for concrete (PMC),medium
carbothermic_aluminium,Carbothermic reduction of alumina,process_change,Hall-Heroult electrolysis electricity,"Direct carbothermic smelting of alumina to aluminium at ~2000C+, potentially lower capex/energy than electrolysis",3,Alcoa-Elkem advanced reactor process reached laboratory/small-pilot stage and was discontinued; reviews class all carbothermic concepts as experimental,Aluminium carbide formation and low yields; extreme temperatures; emits CO2 unless with capture; development largely abandoned,No UK activity; speculative,sector_specific,"[REF_CARBOTHERMIC] Peer-reviewed review of alternative Al production methods (Rhamdhani et al., Mineral Processing and Extractive Metallurgy, 2013)",medium
clinker_substitution_scm,"Clinker substitution / multi-component cements (GGBS, PFA, limestone fines, CEM II/VI)",process_change,process_co2; kiln_fuel,Reduce clinker factor of cement and of concrete mixes by substituting clinker with SCMs and limestone fines,9,Commercially deployed; MPA UK Concrete roadmap identifies clinker substitution and low-carbon multi-component cements as a core deployed/near-term lever,"UK GGBS and PFA supply declining (blast furnace closures, coal phase-out); standards limits (BS 8500, updated 2023 to allow multi-component cements); performance/early-strength trade-offs",Commercial and widespread; BS 8500:2023 broadened permitted cement types,sector_specific,[R_MPA_ROADMAP] MPA UK Concrete Roadmap to Beyond Net Zero quantifies decarbonised electricity/fuel switching and low-carbon cements incl. clinker substitution,high
co2_mineralised_concrete,"CO2 mineralisation in fresh concrete (CO2 injection at batching, e.g. CarbonCure)",ccs_ccu,process_co2,"Inject CO2 into fresh mix to mineralise as CaCO3, enabling cement content reduction",,No numeric TRL located; commercially deployed at hundreds of ready-mix plants (mainly North America) per vendor and reviews,Small abatement per m3 (~3-6% via cement reduction); CO2 supply logistics; mix design approvals; limited UK adoption to date,Early/limited UK adoption; commercial overseas,sector_specific,[R_CARBONCURE] CarbonCure carbon mineralization in concrete technical page,medium
cog_hydrogen_recovery,Coke oven gas hydrogen recovery/valorisation,other,natural gas; grid hydrogen,Separation of the ~55-60% hydrogen fraction of coke oven gas (PSA/membranes) for use as low-carbon-intensity fuel or feedstock,9,"PSA hydrogen recovery from COG is commercially established (peer-reviewed comparative analysis, Ind. Eng. Chem. Res. 2021)","Gas cleaning (tar, sulphur, BTX) upstream; displaces COG from underfiring which must be substituted; economics site-specific",Not deployed at UK coke plants,sector_specific,[REF_COG_H2] ACS I&ECR review of technical alternatives for hydrogen recovery from coke oven gas,medium
coke_dry_quenching,Coke dry quenching with waste-heat power recovery,efficiency_heat_recovery,grid electricity; coke oven gas (steam raising),Quenching hot coke with inert gas and recovering sensible heat to steam/power (~85-95 kWh electricity per tonne coke),9,"CDQ is commercially deployed at large scale, especially in Japan and China (CTCN technology description; Nippon Steel Engineering reference plants)",High capital cost; suits larger batteries; retrofit space; remaining UK coke plants small and ageing,Not installed at UK coke plants,sector_specific,[REF_CDQ] Climate Technology Centre & Network description of coke dry quenching for the iron and steel sector,high
