technology_code,technology_name,sector,technology_category,output_commodity,carrier_id,unit_type,abatement,disposition,unit_id,fuel_carrier_id,reason,notes
ICMKLNOXQ01,BAT kiln full oxyfuel (CCS),Cement,CCS,ICMCLK,electricity,kiln,ccs,preserved,ccs_oxyfuel,electricity,"CCS category. Full oxyfuel; the added load is the air separation unit, so electricity.",
ICMKLNPOQ01,Partial oxyfuel dry kiln with CCS,Cement,CCS,ICMCLK,electricity,kiln,ccs,preserved,ccs_oxyfuel_partial,electricity,CCS category. Partial oxyfuel; as ICMKLNOXQ01.,
ICMKLNCLQ01,Calcium looping kiln,Cement,CCS,ICMCLK,coal,kiln,ccs,preserved,kiln_calcium_looping_coal,coal,"CCS category. Calcium looping is integrated capture, so unit.csv keeps it a converter kiln rather than a bolt-on abatement unit.",
ICMKLND01,"Dry kiln, best available technology (BAT)",Cement,Dry kiln,ICMCLK,coal,kiln,,preserved,kiln_dry_coal,coal,"A3: category `Dry kiln` is a device, not a fuel. Name is 'Dry kiln, best available technology (BAT)' and emitting_fuel_commodities lists seven fuels (IND_NGABOM;INDCOA;INDDISTELC;INDHFO;INDLFO;INDMSWINO;INDMSWORG), so the source row is multi-fuel. D13 splits it into four single-fuel cement kiln units; unit_id names the one the cement worked example instantiates.",d13_fan_out=kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil
ICMKLNMNQ01,Dry kiln with natural gas CHP and MEA CCS,Cement,CCS,ICMCLK,natural_gas,kiln,ccs,preserved,ccs_amine,natural_gas,CCS category. MEA train on a dry kiln with a natural gas CHP -> the train's own fuel is gas.,
ICMKLNMAQ02,Advanced Amine (MDEA) - BAT KILN (Cormos 2017) (CCS),Cement,CCS,ICMCLK,natural_gas,kiln,ccs,preserved,ccs_amine_mdea,natural_gas,CCS category. Advanced amine (MDEA) train; unit.csv gives fuel_carrier_id=natural_gas.,
ICMKLNMCQ01,Dry kiln with coal CHP and MEA CCS,Cement,CCS,ICMCLK,coal,kiln,ccs,preserved,ccs_amine_coal_chp,coal,CCS category. MEA train on a dry kiln with a coal CHP -> the train's own fuel is coal.,
ICMKLNWST02,Fluidised bed kiln with waste utilisation,Cement,Standard_FF,ICMCLK,waste_derived_fuel,kiln,,preserved,kiln_fluidbed_wdf,waste_derived_fuel,A2: `Standard_FF` resolved from the name ('Fluidised bed kiln with waste utilisation') and INDMSWINO in emitting_fuel_commodities -> waste_derived_fuel.,
ICMLOCARB01,Alternative low carbon cement,Cement,Standard_FF,ICM,electricity,grinder,,preserved,cement_lowcarbon_elec,electricity,A2: `Standard_FF` on 'Alternative low carbon cement'. The unit is a grinding/blending step; unit.csv gives cement_lowcarbon_elec fuel_carrier_id=electricity.,
ICMGRIMIX01,Grinding and mixing technology,Cement,Electricity,ICM,electricity,grinder,,preserved,grinder_mixer_elec,electricity,"Chemistry node, cement grinding.",
ICMGRIMIX02,Grinder and mixer with increased clinker substitution,Cement,Electricity,ICM,electricity,grinder,,preserved,grinder_mixer_clinker_sub_elec,electricity,"Chemistry node, cement grinding with increased clinker substitution.",
ICRDRYNGA01,Drying / separation technology based on natural gas,Ceramics,Natural gas,ICRDRY,natural_gas,dryer,,collapsed,dryer_direct_gas,natural_gas,Per-sector copy of the DRY duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRHTHBIOS01,High-temperature heat technology based on solid biomass (boiler),Ceramics,Biomass,ICRHTH,solid_biomass,furnace,,collapsed,furnace_ht_biomass,solid_biomass,Per-sector copy of the HTH duty served by category `Biomass`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRHTHHCO01,High-temperature heat technology based on coal (boiler),Ceramics,Coal,ICRHTH,coal,furnace,,collapsed,furnace_ht_coal,coal,Per-sector copy of the HTH duty served by category `Coal`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRHTHNGA01,High-temperature heat technology based on natural gas / biomethane (boiler),Ceramics,Natural gas,ICRHTH,natural_gas,furnace,,collapsed,furnace_ht_gas,natural_gas,Per-sector copy of the HTH duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRLTHBIOS01,Low-temperature heat  technology based on solid biomass (boiler),Ceramics,Biomass,ICRLTH,solid_biomass,boiler,,collapsed,boiler_lt_biomass,solid_biomass,Per-sector copy of the LTH duty served by category `Biomass`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRLTHNGA01,Low-temperature heat  technology based on natural gas (boiler),Ceramics,Natural gas,ICRLTH,natural_gas,boiler,,collapsed,boiler_lt_gas,natural_gas,Per-sector copy of the LTH duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICROTHBIOS01,Generic process technology for other energy services based on solid biomass,Ceramics,Biomass,ICROTH,solid_biomass,generic_process,,collapsed,generic_process_biomass,solid_biomass,Per-sector copy of the OTH duty served by category `Biomass`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICROTHNGA01,Generic process technology for other energy services based on natural gas / biomethane,Ceramics,Natural gas,ICROTH,natural_gas,generic_process,,collapsed,generic_process_gas,natural_gas,Per-sector copy of the OTH duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRSPCBIOS01,Low-temperature space heat technology based on solid biomass (boiler),Ceramics,Biomass,ICRSPC,solid_biomass,boiler,,collapsed,boiler_spc_biomass,solid_biomass,Per-sector copy of the SPC duty served by category `Biomass`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRSPCNGA01,Low-temperature space heat technology based on natural gas (boiler),Ceramics,Natural gas,ICRSPC,natural_gas,boiler,,collapsed,boiler_spc_gas,natural_gas,Per-sector copy of the SPC duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICR01,"Demand technology (not an actual technology only transforms energy services (ICRDRY, ICRHTH, ICRLTH, ICRMOT, ICROTH, ICRSPC) into final demand commodity (ICR))",Ceramics,Standard_FF,ICR,,demand,,dropped,,,"Dropped: COMIT demand technology. It converts a sector's energy-service commodities into the sector demand commodity, has no fuel input (emitting_fuel_commodities is empty) and no cost or capacity. The data migration's Group A excludes the sector-level demand commodities explicitly. V1b (parity against the frozen R run) compares nothing through it.",
ICRDRYELC01,Drying / separation technology based on electricity,Ceramics,Electricity,ICRDRY,electricity,dryer,,collapsed,dryer_electric,electricity,Per-sector copy of the DRY duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRDRYELCHP01,Drying / separation technology based on heat pump,Ceramics,Heat pump,ICRDRY,electricity,heat_pump,,collapsed,dryer_heat_pump,electricity,Per-sector copy of the DRY duty served by category `Heat pump`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRDRYHDG01,Drying / separation technology based on hydrogen,Ceramics,Hydrogen,ICRDRY,hydrogen,dryer,,collapsed,dryer_direct_hydrogen,hydrogen,Per-sector copy of the DRY duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRHTHELC01,High-temperature heat technology based on electricity (boiler),Ceramics,Electricity,ICRHTH,electricity,furnace,,collapsed,furnace_ht_elec,electricity,Per-sector copy of the HTH duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRHTHHDG01,High-temperature heat technology based on hydrogen (boiler),Ceramics,Hydrogen,ICRHTH,hydrogen,furnace,,collapsed,furnace_ht_hydrogen,hydrogen,Per-sector copy of the HTH duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRLTHELC01,Low-temperature heat  technology based on electricity (boiler),Ceramics,Electricity,ICRLTH,electricity,resistance_heater,,collapsed,resistance_heater_lt,electricity,Per-sector copy of the LTH duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
