option_id,unit_id,relationship,notes,provenance,confidence
abattoir_byproduct_ad,anaerobic_digester,supply,The option is an on-site digester on ABP/paunch feedstock; biogas fuels site boilers or CHP.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'abattoir_byproduct_ad' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
ad_chp_heat_integration,anaerobic_digester,enables,"Raises the share of CHP jacket/exhaust heat actually used, cutting anaerobic_digester's parasitic heat input coefficient (digester ~40C, pasteurisation ~70C).","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'ad_chp_heat_integration' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
ad_heat_pump_digester_heating,heat_pump_lt_air,is_unit,Electric heat pump supplying 40-70C digester/pasteuriser heat is the LTH air-source heat pump unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'ad_heat_pump_digester_heating' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
air_to_air_hp_warm_air,heat_pump_spc_air,is_unit,Air-to-air replacement of gas warm-air unit heaters is the SPC air-source heat pump unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'air_to_air_hp_warm_air' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
alkali_activated_binder,cement_lowcarbon_elec,route_change,"Replaces Portland cement entirely, so the clinker kiln disappears: spans kiln_pyroprocessing and cement_grinding.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'alkali_activated_binder' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
ammonia_industrial_fuel,,none,GAP-CARRIER: carrier.csv has no ammonia carrier and unit.csv no ammonia-fired boiler or furnace.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'ammonia_industrial_fuel' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
ashp_space_heating_industrial,heat_pump_spc_air,is_unit,Air-to-water heat pump on AHU coils and radiant panels is the SPC air-source heat pump unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'ashp_space_heating_industrial' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
battery_electric_nrmm,,none,"GAP-UNIT: unit.csv has no mobile-plant / NRMM unit, so no forklift, loader or yard-vehicle drivetrain can be represented.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'battery_electric_nrmm' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
bf_biochar_injection,blast_furnace_coke,enables,Biogenic char substituted for PCI coal changes blast_furnace_coke's solid-fuel input coefficients. GAP-CARRIER: no biochar carrier exists.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'bf_biochar_injection' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
bf_h2_injection,blast_furnace_coke,enables,Tuyere hydrogen injection changes blast_furnace_coke's coal and hydrogen input coefficients.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'bf_h2_injection' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
bio_feedstock_co_processing,refinery_fixed_mix_gas,enables,Co-processed biogenic feedstock changes the refinery unit's feedstock coefficient. GAP-CARRIER: no bio-feedstock carrier.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'bio_feedstock_co_processing' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
bio_feedstock_co_processing,refinery_flexible_mix_gas,enables,"As refinery_fixed_mix_gas: the feedstock coefficient changes, the process does not.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'bio_feedstock_co_processing' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
biocarbon_fuel_substitution,sinter_plant_coke,enables,Biochar/biocoke for coke breeze changes sinter_plant_coke's solid-fuel input coefficient.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'biocarbon_fuel_substitution' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
biocarbon_fuel_substitution,eaf_elec,enables,Biogenic charge and injection carbon changes eaf_elec's carbon input coefficient.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'biocarbon_fuel_substitution' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
biogas_upgrading_grid_injection,anaerobic_digester,is_unit,unit.csv's anaerobic_digester is specified 'with biogas upgrading' — this option is that unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'biogas_upgrading_grid_injection' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
biomass_boiler,boiler_lt_biomass,is_unit,Steam and hot water to conventional boiler conditions.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'biomass_boiler' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
biomass_boiler,boiler_spc_biomass,is_unit,The same plant serving a space-heat duty.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'biomass_boiler' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
biomethane_fuel,boiler_lt_biomethane,is_unit,"Drop-in for a gas boiler duty, no equipment change.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'biomethane_fuel' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
biomethane_fuel,chp_biomethane_ccgt,is_unit,"Drop-in for a gas CHP duty. GAP-UNIT: no biomethane-fired kiln unit exists, so the kiln leg of this option is unrepresented.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'biomethane_fuel' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
building_fabric_upgrade,,none,"DEMAND-SIDE: insulation, air-tightness and glazing reduce the space-heat duty (3.9/3.3), not any unit coefficient.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'building_fabric_upgrade' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
calcined_clay_lc3,grinder_mixer_clinker_sub_elec,is_unit,LC3 is a clinker-substitution grinding route; unit.csv's 'cement grinding with increased clinker substitution' is it.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'calcined_clay_lc3' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
calcium_looping_ccs,kiln_calcium_looping_coal,is_unit,Cement calcium-looping kiln.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'calcium_looping_ccs' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
calcium_looping_ccs,lime_kiln_calcium_looping_coal,is_unit,Lime calcium-looping kiln.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'calcium_looping_ccs' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
carbonated_manufactured_aggregate,,none,OUT-OF-SET: manufactured aggregate from APCr plus CO2 is a product route outside the premise's process set; no unit converts between modelled carriers.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'carbonated_manufactured_aggregate' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
carbonation_curing_precast,,none,"GAP-UNIT: no CO2-curing chamber unit. The option displaces steam/heat curing, i.e. it removes a curing duty rather than changing a unit.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'carbonation_curing_precast' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
carbothermic_aluminium,,route_change,"GAP-UNIT: unit.csv carries no aluminium smelting unit at all (no electrolysis_potlines node), so the replacement route has nothing to replace.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'carbothermic_aluminium' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
clinker_substitution_scm,grinder_mixer_clinker_sub_elec,is_unit,SCM and limestone substitution at the finish mill is the increased-clinker-substitution grinding unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'clinker_substitution_scm' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
co2_mineralised_concrete,,none,OUT-OF-SET: CO2 injected into fresh concrete mix; concrete batching is not a process this option's hosts model as a carrier conversion.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'co2_mineralised_concrete' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
cog_hydrogen_recovery,,none,GAP-UNIT: no coke-oven-gas hydrogen separation unit (PSA/membrane) in the EN family.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'cog_hydrogen_recovery' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
coke_dry_quenching,,none,"GAP-UNIT: the host (coke oven battery / coke quenching) has no chemistry unit in unit.csv, so the recovered sensible heat has no unit to sit on.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'coke_dry_quenching' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
compressed_air_optimisation,motor_elec,enables,Cuts the compressor's specific power: motor_elec's electricity input coefficient on a compressed_air MOT duty.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'compressed_air_optimisation' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
controls_vsds,motor_elec,enables,"Same coefficient as compressed_air_optimisation, across motor, fan and pump duties.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'controls_vsds' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
cupola_to_induction,furnace_ht_elec,route_change,Coke-fired cupola replaced by electric induction melting; named as a whole-route option in README_decarbonisation_options.md challenge 7.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'cupola_to_induction' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
dairy_membrane_preconcentration,,none,"DEMAND-SIDE: RO/NF removes water ahead of the evaporator, reducing the evaporation duty rather than changing a unit coefficient.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'dairy_membrane_preconcentration' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
destratification_radiant_conversion,,none,DEMAND-SIDE: reduces the space-heat duty in tall spaces.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'destratification_radiant_conversion' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
diesel_electric_hybrid_mobile_crushing,,none,GAP-UNIT: no mobile-plant / NRMM unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'diesel_electric_hybrid_mobile_crushing' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
digestate_drying_chp_waste_heat,anaerobic_digester,enables,"Recovered engine heat dries digestate fibre, changing anaerobic_digester's heat balance; competes with ad_chp_heat_integration for the same heat.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'digestate_drying_chp_waste_heat' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
direct_separation_leilac,,none,GAP-UNIT: no indirectly heated (direct-separation) calciner among the kiln_* or lime_kiln_* units.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'direct_separation_leilac' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
distillery_coproduct_ad,anaerobic_digester,supply,On/near-site digester on distillery co-products.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'distillery_coproduct_ad' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
dry_body_preparation_ceramics,,none,"DEMAND-SIDE: eliminates the spray-dryer thermal demand, i.e. removes a DRY duty.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'dry_body_preparation_ceramics' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
eaf_scrap_preheating,eaf_elec,enables,Off-gas scrap preheating cuts eaf_elec's electricity input coefficient.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'eaf_scrap_preheating' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
eb_cure_coatings,generic_process_elec,is_unit,Electron-beam cure is an electric process-energy service; OTH is the catch-all family and carries no EB-specific unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'eb_cure_coatings' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electric_infrared_drying,dryer_electric,is_unit,Electric surface drying and curing is the electric dryer unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electric_infrared_drying' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electric_kiln_calcination,,none,GAP-UNIT: every kiln_* and lime_kiln_* unit is fossil-fired; there is no electric kiln or calciner node.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electric_kiln_calcination' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
electric_powder_coating_oven,dryer_electric,is_unit,Electric convection/IR cure oven at ~160-200C is a DRY duty served by the electric dryer unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electric_powder_coating_oven' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electric_radiant_space_heating,resistance_heater_spc,is_unit,Electric infrared spot/zone heating is the SPC resistance heater unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electric_radiant_space_heating' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electric_resistance_oven_furnace,furnace_ht_elec,is_unit,The >1000C end of the option's range.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electric_resistance_oven_furnace' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electric_resistance_oven_furnace,resistance_heater_lt,is_unit,The ~100C end of the option's range.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electric_resistance_oven_furnace' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electric_steam_cracker,steam_cracker_elec,is_unit,Electric heating of olefin cracker furnaces.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electric_steam_cracker' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electric_tissue_drying_hood,paper_dryer_elec,is_unit,Electric hood and electric steam/heat-pump drying is the paper machine drying-section unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electric_tissue_drying_hood' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
