carb3_activity,carb3_code,comit_sector,coverage,comit_process_analogue,notes
Workshop,FA01,Mechanical engineering,generic,Energy services only,"Generic activity; 62M m2 of floorspace. Cannot be attributed to a COMIT sector from CaRB3 alone."
Factory,FA02,Mechanical engineering,generic,Energy services only,"Generic activity; 87M m2. Same attribution problem as FA01."
Vehicle repair workshop / garage,FA03,,absent,,"Servicing not manufacturing. Out of COMIT scope."
Exhaust and tyre centre,,,absent,,"Servicing. Out of COMIT scope."
Concrete batching plant,FA06,Construction,direct,Demand commodity for the construction sector,"COMIT has no batching/mixing unit operations; construction is energy services only."
Scrap Metal/Breakers Yard,FA07,Other,gap,,"Folded into Other via the NAEI waste sector. Candidate Waste & recycling sector (note 11)."
"Mineral Production - Rock, Sand, Clay etc.",,,absent,,"Extraction. Not represented - COMIT models manufacturing point sources."
Laboratory,FA09,,absent,,"1.14M m2. Dispersed building-like loads; unlikely candidate (note 11)."
Post Office Sorting Centre,FA10,,absent,,"0.86M m2. Not represented; unlikely candidate."
"Shipbuilding/ repair, boatyard",FA11,Vehicles,direct,Demand commodity for the vehicles sector,"No hull-fabrication or surface-prep processes in COMIT."
Aggregate/Mineral Processing Plant / Depot,FA12,Construction,direct,Demand commodity for the construction sector,"Crushing/drying not modelled as unit operations."
Food Processing Centre,FA13,Food & drink,direct,"Drying / Separation services; Low temperature heat; Refrigeration","COMIT's Drying/Separation and Refrigeration services are the closest analogues."
Brewery,FA14,Food & drink,direct,"Low temperature heat; Low-temperature steam/heat from CHP","Milling/fermentation/wort boiling collapse into heat + motor drive."
Chemical Works,FA15,Chemicals,direct,"Ammonia; High-value chemicals; High temperature heat; Drying / Separation services","Best process-level correspondence of any activity: COMIT has real product chains here."
Abattoir / Slaughter House,FA16,Food & drink,direct,"Refrigeration; Low temperature heat","Stunning has no energy-service analogue; chilling maps to Refrigeration."
Mineral Production - Putrescible,FA17,Other,gap,,"Composting/AD. Folded into Other. Candidate Waste & recycling sector."
Mineral Production - Inert,,Other,gap,,"Waste sorting/crushing. Folded into Other."
Concrete Product Works,FA19,Construction,direct,Demand commodity for the construction sector,"Curing has no COMIT analogue."
Industrial Minerals NEC,FA20,Lime,weak,Lime,"Nearest COMIT sector for calcination outside cement; note 11 flags Lime as having no distinctive CaRB3 code."
Asphalt Plant,FA21,Construction,direct,Demand commodity for the construction sector,"Aggregate drying not modelled separately."
Works,FA22,Other,catch-all,Demand commodity for the other industries sector,"Catch-all to catch-all."
Provender Mill,FA23,Food & drink,direct,"Drying / Separation services; Motor drive","Grinding/pelleting collapse into motor drive."
Brickworks / clay tile/pipe works,FA24,Ceramics,direct,"High temperature heat; Drying / Separation services","Firing maps to high-temperature heat; COMIT has no kiln-type distinction here."
Concrete Block Works,FA25,Construction,direct,Demand commodity for the construction sector,"Curing has no COMIT analogue."
Iron and/or Steel Works,FA27,Iron & steel,direct,"Pig iron; Liquid steel; Hot rolled steel; Finished steel; Sinter","Strongest structural match: CaRB3's ore reduction/steelmaking/rolling line up with COMIT's product chain."
Flour Mill,FA28,Food & drink,direct,Motor drive,"Cleaning/milling are motor-drive loads in COMIT."
Foundry,FA30,Iron & steel / Non-ferrous metals,partial,"Liquid steel; High temperature heat","Shared between two COMIT sectors depending on metal."
Pottery,FA31,Ceramics,direct,"High temperature heat; Drying / Separation services","Forming has no analogue; firing maps to high-temperature heat."
Newspaper print works,FA33,Paper,direct,Demand commodity for the printing subsector,"COMIT models printing as a demand subsector, not as presses."
Paper Mill,FA34,Paper,direct,"Paper before pressing; Paper before drying; Basic paper; Final paper products","Good match: COMIT has a real multi-stage paper chain."
Creamery,FA35,Food & drink,direct,"Drying / Separation services; Low temperature heat","Pasteurisation maps to low-temperature heat."
Mineral Production - Oil,FA36,Refineries,partial,Petroleum products - outputs from oil refining,"Extraction itself not modelled; refining is."
Mineral Production - Coal,,,absent,,"Extraction. Not represented."
