carb3_activity,process_set_id,process_id,duty_family,carrier_id,grade_rank,duty_share,share_low,share_high,evidence_tier,provenance,confidence
Abattoir / Slaughter House,default,refrigeration_chilling,REF,cooling,,1.00000,,,published_sec,"[BREF_SLAUGHTER] Executive Summary p ii: ""At most slaughterhouses, the refrigeration plant is the biggest consumer of electricity. It can constitute 45-90% of the total site load during the working day"". Carcass chilling and chill/freezer stores are one cooling service.",medium
Abattoir / Slaughter House,default,slaughter_line_processing,MOT,motive_power,,1.00000,,,engineering,"[FOYLE_EA] Table 1.2, sub-metered plantroom/process boards at a UK beef abattoir - line drives, carcass saws, hide puller and effluent plant are shaft-work loads with no heat duty.",medium
Abattoir / Slaughter House,default,hot_water_sterilisation_cleaning,LTH,heat_60_100,2,1.00000,,,published_sec,"[FOYLE_EA] Section 1.1.2: a single LPG boiler supplies ""85 C hot water for sterilisation"" and ""45 C hot water for cleaning"". The 85 C steriliser sets the binding delivery temperature, band 2 (60-100C). Corroborated by [SLAUGHTER_HP_PAPER] via process_decarbonisation_options.csv, ""82C steriliser and wash-down water within heat pump range"". The source does not split the boiler load, so the 45 C washdown gets no band 1 row.",medium
Abattoir / Slaughter House,default,scalding_singeing,LTH,heat_60_100,2,1.00000,,,published_sec,"[SLAUGHTER_HP_PAPER] via process_decarbonisation_options.csv: ""Pig scald tanks ~60C suit heat pumps"" - band 2 (60-100C) at its lower bound. Singeing is a direct flame duty far above 1000 C; no source splits scald-tank from singe-burner energy, so the dominant scald duty carries 1.0 and the HTH singeing component is a stated gap.",low
Abattoir / Slaughter House,default,compressed_air,MOT,motive_power,,1.00000,,,engineering,"[CTV059] document level - compressed air is a compressor shaft-work service; its waste heat is a recovery opportunity, not a duty the site must be supplied.",medium
Abattoir / Slaughter House,default,site_services,SPC,heat_60_100,2,0.55000,,,fallback,"[CARB3_WE_FOOD] section 3.2 treats a site-overhead bundle as two duties - the gas as space heat at band 2 (60-100C), the electricity as motive power. The band is taken from that worked example. The 0.55/0.45 split is the same example's delivered-energy ratio (0.021000 PJ gas / 0.017226 PJ electricity) used as a NAMED ANALOGUE because no source splits this activity's bundle. Fallback reasoning, not a read figure.",low
Abattoir / Slaughter House,default,site_services,MOT,motive_power,,0.45000,,,fallback,"[CARB3_WE_FOOD] section 3.2: ""its electricity is motive power, which is the ordinary shape for a process that is really a bundle of site overheads"". Share is the analogue complement of this process's SPC row. Fallback reasoning, not a read figure.",low
Aggregate/Mineral Processing Plant / Depot,default,crushing,MOT,motive_power,,1.00000,,,published_sec,"[DOE_STONE] Chapter 9 ""Limestone and Crushed Rock"" (document level) - crushing is the dominant electric shaft-work stage of aggregate processing; no thermal duty.",medium
Aggregate/Mineral Processing Plant / Depot,default,screening,MOT,motive_power,,1.00000,,,published_sec,[DOE_STONE] Chapter 9 (document level) - screening and grading is vibrating-screen shaft work.,medium
Aggregate/Mineral Processing Plant / Depot,default,conveying,MOT,motive_power,,1.00000,,,engineering,[IERC_QUARRY] document level - belt conveying and radial stacking are motor loads.,medium
Aggregate/Mineral Processing Plant / Depot,default,washing_classification,MOT,motive_power,,1.00000,,,engineering,"[IERC_QUARRY] document level - wash barrels, sand classifiers and water pumps are shaft-work loads. No source records the wash water being heated, so no heat duty is asserted.",medium
Aggregate/Mineral Processing Plant / Depot,default,mobile_plant,MOT,motive_power,,1.00000,,,published_sec,"[NSSGA_GHG] document level - wheel loaders and material handlers are the diesel end use of an aggregates site. [DESNZ_NRMM_CFE2025] document level - loaders, handlers and yard vehicles are diesel non-road mobile machinery delivering shaft work; no thermal duty.",medium
Aggregate/Mineral Processing Plant / Depot,default,site_services,MOT,motive_power,,1.00000,,,fallback,"[CARB3_WE_CEMENT] section 3.2 gives site_services MOT/motive_power. activity_process_energy_profile.csv carries no heat vector for this process at this activity, so a single motive row is written and no space-heat duty is asserted.",low
Aircraft works,default,machine_drive,MOT,motive_power,,1.00000,,,published_sec,"[MECS2022_T52] Table 5.2, End Uses of Fuel Consumption, NAICS 336 - machine drive is the dominant electric end use. CNC centres, riveting tools, compressors and hydraulic test rigs are shaft work.",medium
Aircraft works,default,process_heating,PHEAT,heat_150_400,4,1.00000,,,fallback,"[REF_RELIANT_OVENS] via decarbonisation_options_library.csv option electric_powder_coating_oven: cure ovens ""~160-200C""; [REF_DOE_COATINGS] via option low_bake_paint_chemistry: automotive stoving ""140-180C"". Composite autoclave cure and paint stoving are the NAMED ANALOGUES placing aerospace process heating in band 4 (150-400C). Solution heat treatment of aluminium alloys is a higher-band duty that no source here quantifies. Not a read figure.",low
Aircraft works,default,process_cooling,REF,cooling,,1.00000,,,engineering,"[MECS2022_T52] Table 5.2, NAICS 336 - process cooling and refrigeration is a distinct end use. Chillers and environmental test chambers deliver a cooling service.",medium
Aircraft works,default,surface_treatment,LTH,heat_60_100,2,1.00000,,,published_sec,"[REF_DESNZ_ELEC] via process_decarbonisation_options.csv: ""Anodising/pre-treatment baths under 100C"". Band 2 (60-100C) is the working range of heated anodising and pre-treatment baths. Paint-booth air handling is not separated by the source.",medium
Aircraft works,default,other_process,OTH,motive_power,,1.00000,,,fallback,"[MECS2022_T52] Table 5.2, NAICS 336 ""other process use"". The service here is engine-test rig and NDT instrument load; [CARB3_WE_FOOD] section 3.2 is the repo precedent for carrying a bundled electrical overhead as motive power. The gas component of this bundle (test-cell fuel) is not separated by any source and is a stated gap.",low
Aircraft works,default,steam_hot_water,STM,heat_100_150,3,1.00000,,,published_sec,"[REF_DESNZ_ELEC] via process_decarbonisation_options.csv: ""LP steam/hot water under ~150C"". Band 3 (100-150C).",medium
Aircraft works,default,site_services,MOT,motive_power,,1.00000,,,fallback,"[CARB3_WE_FOOD] section 3.2 precedent for carrying a bundled electrical overhead as motive power. space_heating is a separate register process at this activity, so the bundle's space-heat duty is carried there. The small gas share activity_process_energy_profile.csv gives this bundle (ventilation/AHU heating) is not separated by any source.",low
Aircraft works,default,space_heating,SPC,heat_60_100,2,1.00000,,,engineering,"[CARB3_WE_FOOD] section 3.2 places a space-heating duty (""SPC - space heating"") at heat_60_100, grade 2. Warm-air, radiant and wet systems in industrial buildings deliver into band 2 (60-100C). Named analogue; no temperature was read for this activity. [AERO_FACILITY_2023] document level confirms hangar space heating as a major aerospace facility end use.",medium
Aluminium Smelting Works,default,alumina_materials_handling,MOT,motive_power,,1.00000,,,engineering,"[LBNL_AL2016] document level - pneumatic conveyors, silos and pot feeders are blower and shaft-work loads.",medium
Aluminium Smelting Works,default,electrolysis_potlines,HTH,heat_400_1000,5,1.00000,,,fallback,"[LBNL_AL2016] document level - Hall-Heroult reduction cells, rectification and pot auxiliaries. No page-level cell temperature was read. Band 5 (400-1000C) is a FALLBACK for a molten cryolite electrolyte, with [REF_TIB2] (wettable TiB2 cathodes for aluminium electrolysis) as the named analogue for cell conditions and [REF_CARBOTHERMIC] via decarbonisation_options_library.csv option carbothermic_aluminium (""~2000C+"", the carbothermic alternative to electrolysis) as the upper bound the electrolytic route sits below. Not a verified figure.",low
Aluminium Smelting Works,default,anode_production_baking,HTH,heat_gt1000,6,1.00000,,,fallback,"[LBNL_AL2016] document level - anode paste plant and gas-fired anode baking furnace. No temperature was read. Band 6 (>1000C) is a FALLBACK on the analogy with coke-oven carbonisation ([IS_BREF2013] document level), which is the same carbon-baking chemistry and is placed at band 6 elsewhere in this file. Not a verified figure.",low
Aluminium Smelting Works,default,cast_house,HTH,heat_400_1000,5,1.00000,,,fallback,"[IAI_SEI] document level - cast house holding, casting and homogenising. Aluminium melts at 660 C, so holding furnaces deliver into band 5 (400-1000C); [AGORA2024] via decarbonisation_options_library.csv option induction_heating ("">1200C"" for metal melting) is the named analogue for the upper end of metal melting and is not reached here. Not a read figure for this duty.",low
Aluminium Smelting Works,default,site_services,SPC,heat_60_100,2,0.55000,,,fallback,"[CARB3_WE_FOOD] section 3.2 treats a site-overhead bundle as two duties - the gas as space heat at band 2 (60-100C), the electricity as motive power. The band is taken from that worked example. The 0.55/0.45 split is the same example's delivered-energy ratio (0.021000 PJ gas / 0.017226 PJ electricity) used as a NAMED ANALOGUE because no source splits this activity's bundle. Fallback reasoning, not a read figure. At this activity the register bundle is ""compressed air, lighting, workshops, offices"" and the gas share the energy profile gives it is read as workshop and office space heating - the only plausible gas use in that bundle.",low
Aluminium Smelting Works,default,site_services,MOT,motive_power,,0.45000,,,fallback,"[CARB3_WE_FOOD] section 3.2: ""its electricity is motive power, which is the ordinary shape for a process that is really a bundle of site overheads"". Share is the analogue complement of this process's SPC row. Fallback reasoning, not a read figure.",low
Artificial Fibre Works,default,polymer_melt_extrusion,PHEAT,heat_150_400,4,1.00000,,,engineering,"[POLBREF2007] document level - polymer melting, extrusion and spin-beam heating through a heat-transfer-medium (Dowtherm) circuit, as the register's equipment list records. Band 4 (150-400C): the melt and spin-beam circuit sits above the 160-180 C chip-drying air the same works uses ([annex58_t1_2023] via process_decarbonisation_options.csv) and below 400 C. No page-level temperature was read.",medium
Artificial Fibre Works,default,chip_drying,DRY,heat_150_400,4,1.00000,,,published_sec,"[annex58_t1_2023] via process_decarbonisation_options.csv: ""PET drying air 160-180C at upper limit of HTHP range"". Band 4 (150-400C).",medium
Artificial Fibre Works,default,spinning_quench_winding,MOT,motive_power,,1.00000,,,engineering,"[POLBREF2007] document level - godets, high-speed winders and metering pumps are shaft work. The quench air is a cooling service supplied by spinning_hvac, not a duty of this process.",medium
Artificial Fibre Works,default,drawing_texturing,PHEAT,heat_150_400,4,1.00000,,,fallback,"[POLBREF2007] document level - draw frames, texturing machines and heater tracks. Band 4 (150-400C) is a FALLBACK taking the same works' chip-drying duty (160-180 C, [annex58_t1_2023]) as the NAMED ANALOGUE for heater-track temperature. The machine drive component is not separated by any source. Not a read figure.",low
Artificial Fibre Works,default,spinning_hvac,REF,cooling,,1.00000,,,engineering,"[POLBREF2007] document level - air washers, AHUs, chillers and humidity-control plant deliver a cooling and conditioning service to the spinning hall.",medium
Artificial Fibre Works,default,compressed_air,MOT,motive_power,,1.00000,,,engineering,"[CTV059] document level - compressed air is a compressor shaft-work service; its waste heat is a recovery opportunity, not a duty the site must be supplied.",medium
Artificial Fibre Works,default,site_services,SPC,heat_60_100,2,0.55000,,,fallback,"[CARB3_WE_FOOD] section 3.2 treats a site-overhead bundle as two duties - the gas as space heat at band 2 (60-100C), the electricity as motive power. The band is taken from that worked example. The 0.55/0.45 split is the same example's delivered-energy ratio (0.021000 PJ gas / 0.017226 PJ electricity) used as a NAMED ANALOGUE because no source splits this activity's bundle. Fallback reasoning, not a read figure.",low
