carb3_activity,process_set_id,process_id,duty_family,unit_id,default_share,sizing_basis,evidence_tier,provenance,confidence
Abattoir / Slaughter House,default,refrigeration_chilling,REF,chiller_electric_lt0,1.00000,duty_annual,assumed,"Changed note 22 Task 10, 2026-09-25 from chiller_electric, which reaches cooling_0_15 and cannot serve this duty since Task 3 put it on cooling_lt0: chiller_electric_lt0 is the only unit that reaches the band. Electric vapour compression is the incumbent technology either way; the band is what changed. Only plausible incumbent: chiller_electric is the sole REF-family unit in unit.csv and is eligible for (Abattoir / Slaughter House, refrigeration_chilling) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Abattoir / Slaughter House,default,slaughter_line_processing,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Abattoir / Slaughter House, slaughter_line_processing) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Abattoir / Slaughter House,default,hot_water_sterilisation_cleaning,LTH,boiler_lt_gas,1.00000,duty_annual,derived,"Incumbent fuel: the vectors [CARB3_EP] carries for (Abattoir / Slaughter House, default, hot_water_sterilisation_cleaning) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the LTH-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions.",medium
Abattoir / Slaughter House,default,scalding_singeing,LTH,boiler_lt_gas,1.00000,duty_annual,assumed,"Incumbent fuel: the vectors [CARB3_EP] carries for (Abattoir / Slaughter House, default, scalding_singeing) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (no vector), yielding none. The unit is the LTH-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions. The energy profile carries NO row for (Abattoir / Slaughter House, default, scalding_singeing) - one of the silent coverage gaps section 3.3.1 names - so the incumbent fuel is not evidenced and the default carrier for this duty family is used.",low
Abattoir / Slaughter House,default,compressed_air,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Abattoir / Slaughter House, compressed_air) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Abattoir / Slaughter House,default,site_services,SPC,boiler_spc_gas,1.00000,duty_annual,assumed,"Incumbent fuel: the vectors [CARB3_EP] carries for (Abattoir / Slaughter House, default, site_services) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the SPC-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions. C10 CONFLICT: this unit's grade_out is 1 and the duty's grade_rank is 2, so C10 (the heat grade cascade) would drop it from U_q at load and the optimiser could not build it. NO unit in unit.csv satisfies both eligibility and C10 for this duty. Asserted because spec section 3.16 forbids a blank row (every duty is served today); recorded so the coordinator can fix one side. See DONE_default_unit.md.",low
Abattoir / Slaughter House,default,site_services,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Abattoir / Slaughter House, site_services) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Aggregate/Mineral Processing Plant / Depot,default,crushing,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aggregate/Mineral Processing Plant / Depot, crushing) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Aggregate/Mineral Processing Plant / Depot,default,screening,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aggregate/Mineral Processing Plant / Depot, screening) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Aggregate/Mineral Processing Plant / Depot,default,conveying,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aggregate/Mineral Processing Plant / Depot, conveying) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Aggregate/Mineral Processing Plant / Depot,default,washing_classification,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aggregate/Mineral Processing Plant / Depot, washing_classification) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed. The energy profile carries NO row for (Aggregate/Mineral Processing Plant / Depot, default, washing_classification) - one of the silent coverage gaps section 3.3.1 names - so the incumbent fuel is not evidenced and the default carrier for this duty family is used.",low
Aggregate/Mineral Processing Plant / Depot,default,mobile_plant,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aggregate/Mineral Processing Plant / Depot, mobile_plant) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed. NO ELIGIBILITY ROW: unit_eligibility.csv has no entry for (Aggregate/Mineral Processing Plant / Depot, mobile_plant) that this duty could use, so spec section 3.16's eligibility precondition is not met and a strict validator will reject this row. The unit named is the correct incumbent on the physics; the gap is in unit_eligibility.csv, not here. See DONE_default_unit.md.",low
Aggregate/Mineral Processing Plant / Depot,default,site_services,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aggregate/Mineral Processing Plant / Depot, site_services) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed. The energy profile carries NO row for (Aggregate/Mineral Processing Plant / Depot, default, site_services) - one of the silent coverage gaps section 3.3.1 names - so the incumbent fuel is not evidenced and the default carrier for this duty family is used.",low
Aircraft works,default,machine_drive,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aircraft works, machine_drive) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Aircraft works,default,process_heating,PHEAT,furnace_ht_gas,1.00000,duty_annual,assumed,"Incumbent fuel: the vectors [CARB3_EP] carries for (Aircraft works, default, process_heating) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the HTH-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions. FAMILY FALLBACK: no unit of duty family PHEAT is both eligible for (Aircraft works, process_heating) and admitted by C10 (the heat grade cascade) at grade_rank 4, so the nearest family that is, HTH, is used. The food and drink worked example does the same thing, putting boiler_lt_gas (an LTH unit) on the SPC duty.",low
Aircraft works,default,process_cooling,REF,chiller_electric,1.00000,duty_annual,assumed,"Only plausible incumbent: chiller_electric is the sole REF-family unit in unit.csv and is eligible for (Aircraft works, process_cooling) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Aircraft works,default,surface_treatment,LTH,boiler_lt_gas,1.00000,duty_annual,assumed,"Changed note 22 Task 10, 2026-09-25 from generic_process_gas, which has no coefficients and serves nothing; boiler_lt_gas is the gas LTH unit and reaches the rank-2 duty (grade_out 3). Incumbent fuel: the vectors [CARB3_EP] carries for (Aircraft works, default, surface_treatment) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (no vector), yielding none. The unit is the OTH-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions. FAMILY FALLBACK: no unit of duty family LTH is both eligible for (Aircraft works, surface_treatment) and admitted by C10 (the heat grade cascade) at grade_rank 2, so the nearest family that is, OTH, is used. The food and drink worked example does the same thing, putting boiler_lt_gas (an LTH unit) on the SPC duty. The energy profile carries NO row for (Aircraft works, default, surface_treatment) - one of the silent coverage gaps section 3.3.1 names - so the incumbent fuel is not evidenced and the default carrier for this duty family is used.",low
Aircraft works,default,other_process,OTH,generic_process_gas,1.00000,duty_annual,derived,"Incumbent fuel: the vectors [CARB3_EP] carries for (Aircraft works, default, other_process) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the OTH-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions.",medium
Aircraft works,default,steam_hot_water,STM,chp_gas_ccgt,0.02600,duty_annual,sector_statistic,"[DUKES_7_4] ""Fuel used to generate heat"" by sector, 2024, divided by [ECUK_2025_U4] Table U4, 2024, ""Low temperature process - total"" plus ""Drying / separation - total"" for the same sector, both at 1 ktoe = 11.63 GWh. DUKES sector ""Vehicles"": 71.7 GWh / (239.9 ktoe x 11.63 GWh/ktoe = 2790.0 GWh) = 0.026. The activity maps to that sector through carb3_comit_crosswalk.csv (COMIT sector ""Vehicles""). This is a FUEL-basis ratio, not a delivered-heat ratio: a CHP delivers less heat per unit of fuel than a boiler, so the share of the DELIVERED duty is lower than this. DUKES publishes no per-duty or per-site share, which is why the denominator is the sector's whole low-grade heat end use.",medium
Aircraft works,default,steam_hot_water,STM,boiler_lt_gas,0.97400,duty_annual,derived,"Residual of the [DUKES_7_4]/[ECUK_2025_U4] CHP share on this duty (1 - 0.026). Boilers serve what the CHP does not. Fuel vectors present from [CARB3_EP] for (Aircraft works, default, steam_hot_water); the split between them from [ECUK_2025_U4] (single vector gas).",medium
Aircraft works,default,site_services,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aircraft works, site_services) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Aircraft works,default,space_heating,SPC,boiler_spc_gas,1.00000,duty_annual,assumed,"Incumbent fuel: the vectors [CARB3_EP] carries for (Aircraft works, default, space_heating) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the SPC-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions. C10 CONFLICT: this unit's grade_out is 1 and the duty's grade_rank is 2, so C10 (the heat grade cascade) would drop it from U_q at load and the optimiser could not build it. NO unit in unit.csv satisfies both eligibility and C10 for this duty. Asserted because spec section 3.16 forbids a blank row (every duty is served today); recorded so the coordinator can fix one side. See DONE_default_unit.md.",low
Aluminium Smelting Works,default,alumina_materials_handling,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aluminium Smelting Works, alumina_materials_handling) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed. The energy profile carries NO row for (Aluminium Smelting Works, default, alumina_materials_handling) - one of the silent coverage gaps section 3.3.1 names - so the incumbent fuel is not evidenced and the default carrier for this duty family is used.",low
Aluminium Smelting Works,default,electrolysis_potlines,HTH,furnace_ht_elec,1.00000,duty_annual,assumed,"Incumbent fuel: the vectors [CARB3_EP] carries for (Aluminium Smelting Works, default, electrolysis_potlines) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector electricity), yielding electricity 1.00. The unit is the HTH-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions. NO ELIGIBILITY ROW: unit_eligibility.csv has no entry for (Aluminium Smelting Works, electrolysis_potlines) that this duty could use, so spec section 3.16's eligibility precondition is not met and a strict validator will reject this row. The unit named is the correct incumbent on the physics; the gap is in unit_eligibility.csv, not here. See DONE_default_unit.md.",low
Aluminium Smelting Works,default,anode_production_baking,HTH,furnace_ht_gas,1.00000,duty_annual,assumed,"Incumbent fuel: the vectors [CARB3_EP] carries for (Aluminium Smelting Works, default, anode_production_baking) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the HTH-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions. C10 CONFLICT: this unit's grade_out is 5 and the duty's grade_rank is 6, so C10 (the heat grade cascade) would drop it from U_q at load and the optimiser could not build it. NO unit in unit.csv satisfies both eligibility and C10 for this duty. Asserted because spec section 3.16 forbids a blank row (every duty is served today); recorded so the coordinator can fix one side. See DONE_default_unit.md.",low
Aluminium Smelting Works,default,cast_house,HTH,furnace_ht_gas,1.00000,duty_annual,derived,"Incumbent fuel: the vectors [CARB3_EP] carries for (Aluminium Smelting Works, default, cast_house) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the HTH-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions.",medium
Aluminium Smelting Works,default,site_services,SPC,boiler_spc_gas,1.00000,duty_annual,assumed,"Incumbent fuel: the vectors [CARB3_EP] carries for (Aluminium Smelting Works, default, site_services) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the SPC-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions. C10 CONFLICT: this unit's grade_out is 1 and the duty's grade_rank is 2, so C10 (the heat grade cascade) would drop it from U_q at load and the optimiser could not build it. NO unit in unit.csv satisfies both eligibility and C10 for this duty. Asserted because spec section 3.16 forbids a blank row (every duty is served today); recorded so the coordinator can fix one side. See DONE_default_unit.md.",low
Aluminium Smelting Works,default,site_services,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Aluminium Smelting Works, site_services) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
Artificial Fibre Works,default,polymer_melt_extrusion,PHEAT,furnace_ht_gas,1.00000,duty_annual,assumed,"Incumbent fuel: the vectors [CARB3_EP] carries for (Artificial Fibre Works, default, polymer_melt_extrusion) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the HTH-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions. FAMILY FALLBACK: no unit of duty family PHEAT is both eligible for (Artificial Fibre Works, polymer_melt_extrusion) and admitted by C10 (the heat grade cascade) at grade_rank 4, so the nearest family that is, HTH, is used. The food and drink worked example does the same thing, putting boiler_lt_gas (an LTH unit) on the SPC duty.",low
Artificial Fibre Works,default,chip_drying,DRY,dryer_direct_gas,1.00000,duty_annual,derived,"Incumbent fuel: the vectors [CARB3_EP] carries for (Artificial Fibre Works, default, chip_drying) say which fuels this process uses; [ECUK_2025_U4] gives the split between them (single vector gas), yielding gas 1.00. The unit is the DRY-family variant burning that carrier. The energy profile's energy_share sums to 1.00 down PROCESSES PER VECTOR, so its values are not comparable across vectors and are not used as proportions.",medium
Artificial Fibre Works,default,spinning_quench_winding,MOT,motor_elec,1.00000,duty_annual,assumed,"Only plausible incumbent: motor_elec is the sole MOT-family unit in unit.csv and is eligible for (Artificial Fibre Works, spinning_quench_winding) in unit_eligibility.csv. [CARB3_WE_FOOD] section 1.12 asserts the same unit on the same duty family at evidence_tier assumed.",medium
