carb3_activity,process_set_id,process_id,option_id,trl,applicability,notes,provenance,confidence
Abattoir / Slaughter House,default,compressed_air,compressed_air_optimisation,,commercial,Standard measures,engineering judgement,medium
Abattoir / Slaughter House,default,hot_water_sterilisation_cleaning,abattoir_byproduct_ad,,demonstration,Biogas from by-products fuels hot water boilers; ABP regs shape feasibility,[SD_SLAUGHTER_AD] AD of slaughterhouse by-products literature; AHDB guidance,medium
Abattoir / Slaughter House,default,hot_water_sterilisation_cleaning,electrode_boiler,9,commercial,Electric hot water/steam where heat pump insufficient,engineering judgement,medium
Abattoir / Slaughter House,default,hot_water_sterilisation_cleaning,heat_pump_below_100,9,commercial,82C steriliser and wash-down water within heat pump range,[SLAUGHTER_HP_PAPER] Slaughterhouse heat pumping opportunities study,high
Abattoir / Slaughter House,default,hot_water_sterilisation_cleaning,heat_recovery_heat_pump,8-9,commercial,Couple refrigeration reject heat to hot water demand,[STAR_HP] Industrial heat pump/heat recovery systems,high
Abattoir / Slaughter House,default,hot_water_sterilisation_cleaning,solar_thermal_process_heat,,commercial,Pre-heat wash-down water,engineering judgement,low
Abattoir / Slaughter House,default,refrigeration_chilling,controls_vsds,,commercial,"VSDs, floating head pressure, defrost control",engineering judgement,medium
Abattoir / Slaughter House,default,refrigeration_chilling,heat_recovery_heat_pump,8-9,commercial,Refrigeration reject heat upgraded to 60-82C wash-down/sterilisation water,[SLAUGHTER_HP_PAPER] Peer-reviewed slaughterhouse heat recovery/heat pump study,high
Abattoir / Slaughter House,default,refrigeration_chilling,natural_refrigerant_refrigeration,,commercial,NH3/CO2 plant replacement for carcass chilling/blast freezing,[STAR_NATREF] Natural refrigerant plant in UK meat/cold chain,high
Abattoir / Slaughter House,default,scalding_singeing,biomethane_fuel,8-9,commercial,Drop-in for singe burners,engineering judgement,medium
Abattoir / Slaughter House,default,scalding_singeing,h2_kiln_furnace_burner,5-8,prospective,"H2 flame singeing technically plausible; unproven, supply-dependent",engineering judgement,low
Abattoir / Slaughter House,default,scalding_singeing,heat_pump_below_100,9,commercial,Pig scald tanks ~60C suit heat pumps,[SLAUGHTER_HP_PAPER] Scald tank duty in slaughterhouse heat pump study,medium
Abattoir / Slaughter House,default,scalding_singeing,waste_heat_recovery_process,,commercial,Scald tank heat recovery/insulation,engineering judgement,medium
Abattoir / Slaughter House,default,site_services,battery_electric_nrmm,,commercial,Yard vehicles/forklifts,engineering judgement,medium
Abattoir / Slaughter House,default,site_services,controls_vsds,,commercial,"BMS, lighting, ventilation",engineering judgement,medium
Abattoir / Slaughter House,default,site_services,heat_pump_below_100,9,commercial,Amenity/space heat,engineering judgement,medium
Abattoir / Slaughter House,default,site_services,onsite_solar_pv,,commercial,Roof PV offsets refrigeration load,engineering judgement,medium
Abattoir / Slaughter House,default,slaughter_line_processing,controls_vsds,,commercial,Electric line drives; efficiency only,engineering judgement,medium
Aggregate/Mineral Processing Plant / Depot,default,conveying,controls_vsds,,commercial,VSD drives and stop/start control,engineering judgement,medium
Aggregate/Mineral Processing Plant / Depot,default,crushing,diesel_electric_hybrid_mobile_crushing,9,commercial,Bridge where grid supply not yet adequate,[REF_HUB4_2026] Hybrid plant commercial,high
Aggregate/Mineral Processing Plant / Depot,default,crushing,electrified_static_processing_plant,9,commercial,Depots are fixed sites — strongest case for full static electric plant,[REF_HUB4_2026] Electric plant commercially available,high
Aggregate/Mineral Processing Plant / Depot,default,crushing,plug_in_electric_mobile_crushing_screening,9,commercial,Plug-in mobile crushers run on depot grid supply,[REF_HUB4_2026] Plug-in electric crushers commercial,high
Aggregate/Mineral Processing Plant / Depot,default,mobile_plant,battery_electric_nrmm,,commercial,Electric wheel loaders well suited to depot duty cycles with depot charging,[REF_IM_VOLVO26] Electric loaders/haulers in serial production,medium
Aggregate/Mineral Processing Plant / Depot,default,mobile_plant,hvo_bio_oils_dropin,9,commercial,Drop-in for existing diesel loaders,[REF_MPA2020] MPA roadmap fuel switching,medium
Aggregate/Mineral Processing Plant / Depot,default,mobile_plant,hydrogen_nrmm,,demonstration,H2 ICE loaders demonstrated in UK; refuelling logistics simpler at fixed depot,[REF_JCB23] JCB H2 machines in public testing,medium
Aggregate/Mineral Processing Plant / Depot,default,screening,controls_vsds,,commercial,VSDs/idle management,engineering judgement,medium
Aggregate/Mineral Processing Plant / Depot,default,screening,plug_in_electric_mobile_crushing_screening,9,commercial,Electric screens on depot supply,[REF_HUB4_2026] Electric screens commercial,high
Aggregate/Mineral Processing Plant / Depot,default,site_services,compressed_air_optimisation,,commercial,Workshop compressed air systems,engineering judgement,medium
Aggregate/Mineral Processing Plant / Depot,default,site_services,controls_vsds,,commercial,"Controls, lighting, motor management",engineering judgement,medium
Aggregate/Mineral Processing Plant / Depot,default,site_services,onsite_solar_pv,,commercial,Roof/land PV offsets depot load and loader charging,engineering judgement,medium
Aggregate/Mineral Processing Plant / Depot,default,washing_classification,controls_vsds,,commercial,VSDs on wash pumps and cyclone feeds,engineering judgement,medium
Aircraft works,default,machine_drive,compressed_air_optimisation,,commercial,Large compressed air systems for tooling/riveting,[REF_CT_MANUF] Carbon Trust manufacturing guide,high
Aircraft works,default,machine_drive,controls_vsds,,commercial,VSDs and motor management on machining/test plant,[REF_CT_MANUF] Carbon Trust manufacturing guide,high
Aircraft works,default,other_process,controls_vsds,,commercial,Controls/drives on test and support plant,[REF_CT_MANUF] Generic manufacturing efficiency guidance,medium
Aircraft works,default,other_process,waste_heat_recovery_process,,commercial,Opportunistic heat recovery,engineering judgement,low
Aircraft works,default,process_cooling,controls_vsds,,commercial,Chiller optimisation,[REF_CT_MANUF] Generic manufacturing efficiency guidance,medium
Aircraft works,default,process_cooling,heat_recovery_heat_pump,8-9,commercial,Reject heat to space/water heating,[REF_CT_HVAC] Carbon Trust HVAC guide,medium
Aircraft works,default,process_heating,biomethane_fuel,8-9,commercial,Drop-in for gas-fired plant,engineering judgement,low
Aircraft works,default,process_heating,electric_resistance_oven_furnace,8-9,commercial,Composite-cure and treatment ovens; autoclaves need engineering review,[REF_DESNZ_ELEC] Resistance heating TRL 9,medium
Aircraft works,default,process_heating,htp_heat_pump_100_150,8-9,demonstration,Low-temp cure/drying duties,[REF_DESNZ_ELEC] HTHP TRL 7-9,medium
Aircraft works,default,process_heating,induction_heating,9,commercial,Metal component heat treatment where conductive,[REF_DESNZ_ELEC] DESNZ/ERM electrification report,medium
Aircraft works,default,process_heating,waste_heat_recovery_process,,commercial,Oven/autoclave heat recovery,[REF_CT_MANUF] Carbon Trust manufacturing guide,medium
Aircraft works,default,site_services,controls_vsds,,commercial,BMS and ventilation controls,[REF_CT_HVAC] Carbon Trust HVAC guide,high
Aircraft works,default,site_services,led_high_bay_lighting,,commercial,Hangar-height LED plus controls,[REF_CT_LIGHTING] Carbon Trust lighting guide,high
Aircraft works,default,site_services,onsite_solar_pv,,commercial,Large roofs suit PV; airfield glare assessments may apply,engineering judgement,low
Aircraft works,default,space_heating,air_to_air_hp_warm_air,9,commercial,Replaces gas warm-air heaters in production halls,[REF_UKBCH_ASHP] A2A covered under ASHP guidance,medium
Aircraft works,default,space_heating,ashp_space_heating_industrial,9,commercial,ASHP for offices/production; hangar volumes challenging,[REF_UKBCH_ASHP] UK Business Climate Hub ASHP guidance,medium
Aircraft works,default,space_heating,building_fabric_upgrade,,commercial,Hangar doors and roof insulation dominate,[REF_CT_FABRIC] Carbon Trust building fabric guide,high
Aircraft works,default,space_heating,destratification_radiant_conversion,,commercial,Large stratification losses in hangars,[REF_CT_HVAC] Carbon Trust HVAC guide,high
Aircraft works,default,space_heating,electric_radiant_space_heating,,commercial,IR suited to very tall hangar spaces with door losses,[REF_ECA_RADIANT] ETL radiant heating datasheet,medium
Aircraft works,default,steam_hot_water,biomethane_fuel,8-9,commercial,Drop-in via certified grid gas,engineering judgement,low
Aircraft works,default,steam_hot_water,electrode_boiler,9,commercial,Electric steam/hot water,[REF_DESNZ_ELEC] Electric boilers TRL 9,high
Aircraft works,default,steam_hot_water,h2_boiler,7-9,prospective,Awaits H2 supply,engineering judgement,low
