carb3_activity,process_set_id,process_id,comit_process_code,match_kind,notes
Abattoir / Slaughter House,default,refrigeration_chilling,IFDREF,direct,REF maps to the food and drink refrigeration node.
Abattoir / Slaughter House,default,slaughter_line_processing,IFDMOT,direct,Motor drive.
Abattoir / Slaughter House,default,hot_water_sterilisation_cleaning,IFDLTH,direct,Low temperature heat.
Abattoir / Slaughter House,default,scalding_singeing,IFDLTH,direct,Scald tank is low temperature heat; singeing has no COMIT node.
Abattoir / Slaughter House,default,compressed_air,IFDMOT,direct,Motor drive.
Abattoir / Slaughter House,default,site_services,IFDLTH,analogue,COMIT food and drink has no SPC code; IFDLTH is the nearest low-grade heat node.
Aggregate/Mineral Processing Plant / Depot,default,crushing,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Aggregate/Mineral Processing Plant / Depot,default,screening,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Aggregate/Mineral Processing Plant / Depot,default,conveying,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Aggregate/Mineral Processing Plant / Depot,default,washing_classification,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Aggregate/Mineral Processing Plant / Depot,default,mobile_plant,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Aggregate/Mineral Processing Plant / Depot,default,site_services,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Aircraft works,default,machine_drive,IVHMOT,direct,Motor drive for the vehicles sector.
Aircraft works,default,process_heating,IVHHTH,analogue,Vehicles has no PHEAT code; IVHHTH is the sector process-heat node.
Aircraft works,default,process_cooling,IVHOTH,analogue,COMIT vehicles has no refrigeration code; IVHOTH absorbs it.
Aircraft works,default,surface_treatment,IVHLTH,direct,Low temperature heat.
Aircraft works,default,other_process,IVHOTH,direct,Other energy services for the vehicles sector.
Aircraft works,default,steam_hot_water,IVHSTM,direct,Low-temperature steam/heat.
Aircraft works,default,site_services,IVHMOT,direct,Motor drive; lighting and clean-room AHU fans.
Aircraft works,default,space_heating,IVHSPC,direct,Low temperature space heat.
Aluminium Smelting Works,default,alumina_materials_handling,INFMOT,direct,Motor drive for non-ferrous metals.
Aluminium Smelting Works,default,electrolysis_potlines,INFHTH,direct,"carb3_comit_crosswalk.csv: ""COMIT has no electrolytic-cell representation; smelting is a heat/electricity load""."
Aluminium Smelting Works,default,anode_production_baking,INFHTH,direct,High temperature heat for non-ferrous metals.
Aluminium Smelting Works,default,cast_house,INFHTH,direct,High temperature heat for non-ferrous metals.
Aluminium Smelting Works,default,site_services,INFOTH,analogue,COMIT non-ferrous has no SPC code; INFOTH absorbs site overheads.
Artificial Fibre Works,default,polymer_melt_extrusion,IHVC,analogue,carb3_comit_crosswalk.csv maps this activity to High-value chemicals; extrusion is the fibre-making node.
Artificial Fibre Works,default,chip_drying,ICHDRY,direct,Drying / separation services for chemicals.
Artificial Fibre Works,default,spinning_quench_winding,ICHMOT,direct,Motor drive for chemicals.
Artificial Fibre Works,default,drawing_texturing,ICHHTH,analogue,Chemicals has no PHEAT code; ICHHTH is the sector process-heat node.
Artificial Fibre Works,default,spinning_hvac,ICHREF,direct,Refrigeration for chemicals.
Artificial Fibre Works,default,compressed_air,ICHMOT,direct,Motor drive.
Artificial Fibre Works,default,site_services,ICHSPC,direct,Low temperature space heat for chemicals.
Asphalt Plant,default,cold_feed_conveying,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Asphalt Plant,default,aggregate_drying_heating,ICNOTH,analogue,"COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector. carb3_comit_crosswalk.csv: ""Aggregate drying not modelled separately""."
Asphalt Plant,default,screening_mixing,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Asphalt Plant,default,bitumen_storage_heating,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Asphalt Plant,default,exhaust_baghouse,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Asphalt Plant,default,loadout_storage,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Asphalt Plant,default,mobile_plant,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Asphalt Plant,default,site_services,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Beet Sugar Factory,default,beet_reception_preparation,IFDMOT,direct,Motor drive.
Beet Sugar Factory,default,extraction_diffusion,IFDLTH,direct,Low temperature heat.
Beet Sugar Factory,default,lime_kiln,ILMCLK,analogue,Cross-sector: a lime kiln inside a food and drink premise. COMIT food and drink has no calcination node; ILMCLK is the lime-sector calcination node.
Beet Sugar Factory,default,evaporation,IFDSTM,direct,Low-temperature steam/heat.
Beet Sugar Factory,default,crystallisation_sugar_house,IFDSTM,direct,Low-temperature steam/heat.
Beet Sugar Factory,default,pulp_pressing_drying,IFDDRY,direct,Drying / separation services.
Beet Sugar Factory,default,site_services,IFDLTH,analogue,COMIT food and drink has no SPC code.
Brewery,default,brewhouse,IFDSTM,direct,Low-temperature steam/heat.
Brewery,default,packaging,IFDLTH,direct,Low temperature heat.
Brewery,default,refrigeration,IFDREF,direct,Refrigeration.
Brewery,default,compressed_air,IFDMOT,direct,Motor drive.
Brewery,default,cip_utilities,IFDLTH,direct,Low temperature heat.
Brewery,default,site_services,IFDLTH,analogue,COMIT food and drink has no SPC code.
Brickworks / clay tile/pipe works,default,clay_preparation,ICRMOT,direct,Motor drive for ceramics.
Brickworks / clay tile/pipe works,default,shaping_extrusion,ICRMOT,direct,Motor drive for ceramics.
Brickworks / clay tile/pipe works,default,drying,ICRDRY,direct,Drying / separation services for ceramics.
Brickworks / clay tile/pipe works,default,setting_handling,ICRMOT,direct,Motor drive for ceramics.
Brickworks / clay tile/pipe works,default,kiln_firing,ICRHTH,direct,"carb3_comit_crosswalk.csv: ""Firing maps to high-temperature heat""."
Brickworks / clay tile/pipe works,default,site_services,ICRSPC,direct,Low temperature space heat for ceramics.
Brickworks / clay tile/pipe works,default,clay_extraction_mobile_plant,ICRMOT,analogue,Clay-pit NRMM has no COMIT node; ICRMOT is the nearest shaft-work node in the sector.
Cement Tile Works,default,batching_mixing,,none,"COMIT cement has only ICM (a sector-root demand commodity, not mappable) and ICMCLK (clinker). This process has no COMIT node; carb3_comit_crosswalk.csv records ""Forming/curing have no analogue""."
Cement Tile Works,default,extrusion_pressing,,none,"COMIT cement has only ICM (a sector-root demand commodity, not mappable) and ICMCLK (clinker). This process has no COMIT node; carb3_comit_crosswalk.csv records ""Forming/curing have no analogue""."
Cement Tile Works,default,curing_chambers,,none,"COMIT cement has only ICM (a sector-root demand commodity, not mappable) and ICMCLK (clinker). This process has no COMIT node; carb3_comit_crosswalk.csv records ""Forming/curing have no analogue""."
Cement Tile Works,default,coating_finishing,,none,"COMIT cement has only ICM (a sector-root demand commodity, not mappable) and ICMCLK (clinker). This process has no COMIT node; carb3_comit_crosswalk.csv records ""Forming/curing have no analogue""."
Cement Tile Works,default,depalletting_packaging,,none,"COMIT cement has only ICM (a sector-root demand commodity, not mappable) and ICMCLK (clinker). This process has no COMIT node; carb3_comit_crosswalk.csv records ""Forming/curing have no analogue""."
Cement Tile Works,default,mobile_plant,,none,"COMIT cement has only ICM (a sector-root demand commodity, not mappable) and ICMCLK (clinker). This process has no COMIT node; carb3_comit_crosswalk.csv records ""Forming/curing have no analogue""."
Cement Tile Works,default,site_services,,none,"COMIT cement has only ICM (a sector-root demand commodity, not mappable) and ICMCLK (clinker). This process has no COMIT node; carb3_comit_crosswalk.csv records ""Forming/curing have no analogue""."
Cement Works,default,quarrying_crushing,,none,"COMIT cement has only ICM (sector-root, not mappable) and ICMCLK (clinker). This process has no COMIT node of its own."
Cement Works,default,raw_grinding_blending,,none,"COMIT cement has only ICM (sector-root, not mappable) and ICMCLK (clinker). This process has no COMIT node of its own."
Cement Works,default,raw_meal_homogenisation,,none,"COMIT cement has only ICM (sector-root, not mappable) and ICMCLK (clinker). This process has no COMIT node of its own."
Cement Works,default,kiln_pyroprocessing,ICMCLK,direct,"carb3_comit_crosswalk.csv: ""Calcination maps to Clinker""."
