carrier_id,carrier_name,carrier_kind,is_gradeable,grade_rank,grade_label,is_indirect,emission_factor_source,biogenic_fraction,carbon_charge,denominator_kind,may_dispose,may_import,may_export,vector,comit_commodity,provenance
natural_gas,Natural gas (mains),primary,FALSE,,,FALSE,ef_natural_gas,0.0115,,energy,FALSE,TRUE,FALSE,gas,INDMAINSGAS;IND_NGABOM,"[GHG_CF_2026] sheet ""Fuels"", column ""kg CO2e of CO2 per unit"", row ""Natural gas (100% mineral blend)"", unit kWh (Gross CV) = 0.18405 kg CO2/kWh; x 1e9/3.6/1e6 = 51.1250 kt/PJ. biogenic_fraction derived as 1 - 0.18194/0.18405, the same sheet's ""Natural gas"" (mains, limited biogas content) over the 100% mineral blend, both at identical gross CV per ""Fuel properties"" (49.521 GJ/t); it reproduces the published mains factor 50.54 kt/PJ exactly"
biomethane,Biomethane (grid-injected),primary,FALSE,,,FALSE,ef_biomethane,1,,energy,FALSE,TRUE,FALSE,gas,INDMAINSBOM,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biofuel / Biomethane (compressed)"", unit GJ = 55.28 kg CO2/GJ net CV; kg/GJ = kt/PJ so no conversion. Cross-checks against the same sheet's ""Biogas"" 0.19902 kg CO2/kWh net CV = 55.28 kt/PJ"
hydrogen,Hydrogen (mains),primary,FALSE,,,TRUE,ef_hydrogen,,,energy,FALSE,TRUE,FALSE,other,INDMAINSHYG;INDMAINSHYGR;INDMAINSHYGG;INDMAINSHYGB,"No combustion CO2; the factor is a scenario series for the production route, not a constant. Left blank deliberately - see DONE_carriers.md"
lpg,Liquefied petroleum gas,primary,FALSE,,,FALSE,ef_lpg,0,,energy,FALSE,TRUE,FALSE,oil,INDLPG,"[GHG_CF_2026] sheet ""Fuels"", column ""kg CO2e of CO2 per unit"", row ""LPG"", unit kWh (Gross CV) = 0.21419 kg CO2/kWh; x 277.7778 = 59.4972 kt/PJ"
light_fuel_oil,Light fuel oil (gas oil / diesel),primary,FALSE,,,FALSE,ef_light_fuel_oil,0,,energy,FALSE,TRUE,FALSE,oil,INDLFO,"[GHG_CF_2026] sheet ""Fuels"", column ""kg CO2e of CO2 per unit"", row ""Gas oil"", unit kWh (Gross CV) = 0.25359 kg CO2/kWh; x 277.7778 = 70.4417 kt/PJ"
heavy_fuel_oil,Heavy fuel oil,primary,FALSE,,,FALSE,ef_heavy_fuel_oil,0,,energy,FALSE,TRUE,FALSE,oil,INDHFO,"[GHG_CF_2026] sheet ""Fuels"", column ""kg CO2e of CO2 per unit"", row ""Fuel oil"", unit kWh (Gross CV) = 0.26709 kg CO2/kWh; x 277.7778 = 74.1917 kt/PJ"
petroleum_products_misc,Miscellaneous petroleum products (non-energy use),primary,FALSE,,,FALSE,ef_petroleum_products_misc,0,,energy,FALSE,TRUE,FALSE,oil,INDNEUMSC,"[GHG_CF_2026] sheet ""Fuels"", column ""kg CO2e of CO2 per unit"", row ""Refinery miscellaneous"", unit kWh (Gross CV) = 0.24571 kg CO2/kWh; x 277.7778 = 68.2528 kt/PJ. Carrier is non-energy use (NEUOTH) and carries no combustion emissions under spec 7.10, so this factor is the carbon content only"
coal,Coal (steam / industrial),primary,FALSE,,,FALSE,ef_coal,0,,energy,FALSE,TRUE,FALSE,coal,INDCOA,"[GHG_CF_2026] sheet ""Fuels"", column ""kg CO2e of CO2 per unit"", row ""Coal (industrial)"", unit kWh (Gross CV) = 0.32181 kg CO2/kWh; x 277.7778 = 89.3917 kt/PJ"
coking_coal,Coking coal,primary,FALSE,,,FALSE,ef_coking_coal,0,,energy,FALSE,TRUE,FALSE,coal,INDCOACOK,"[GHG_CF_2026] sheet ""Fuels"", column ""kg CO2e of CO2 per unit"", row ""Coking coal"", unit kWh (Gross CV) = 0.35559 kg CO2/kWh; x 277.7778 = 98.7750 kt/PJ"
coke,Coke,primary,FALSE,,,FALSE,ef_coke,0,,energy,FALSE,TRUE,FALSE,coal,INDCOK,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1 ""Fuel emission factors related to net calorific value (NCV)"", row ""Coke oven coke and lignite coke"" = 107.0 t CO2/TJ; t/TJ = kt/PJ. Not covered by the DESNZ/DEFRA GHG conversion factors"
