carb3_activity,notes
Abattoir / Slaughter House,"Electricity split is well evidenced (BREF 45-90% refrigeration, DECC 50% for meat processing, and a 2025 UK Environment Agency permit application with full sub-metering). Thermal evidence: the same UK site burns all its fuel in a single hot-water boiler for sterilisation/cleaning. Pig scalding/singeing carries no default share (beef/sheep default) — reassign ~15-20% of gas to it at pig plants."
Aggregate/Mineral Processing Plant / Depot,"Electricity split reuses the processing-operations rows of the DOE crushed rock profile, which match this activity's scope directly. Diesel is assigned wholly to mobile plant by engineering logic. No source found separating depot site-services electricity."
Aircraft works,"MECS 2022 Table 5.2 includes a 4-digit NAICS 3364 aerospace row, used directly (better than the NAICS 336 aggregate); its transcription was noisy so values were reconstructed and validated against subtotals — treat cell values as approximate. A peer-reviewed study of 28 US aerospace facilities (AERO_FACILITY_2023) was checked and confirmed that no facility-level end-use disaggregation exists in the literature; UK OEM disclosures (Airbus/Rolls-Royce) publish totals only."
Aluminium Smelting Works,"Electricity dominance of electrolysis is well evidenced (LBNL step intensities seen; IAI publishes the smelting AC intensity metric, whose definition — including rectification and auxiliaries, excluding casting and carbon plants — was verified on the IAI statistics page). No published per-vector site-level breakdown was found for the sole remaining GB smelter (ALVANCE Lochaber, hydro-supplied), so shares are engineering-tier derived from published per-step intensities. Anode production is marked optional since some smelters import baked anodes."
Artificial Fibre Works,"No published unit-operation energy split for man-made fibre plants was found. The Polymers BREF confirms scope and gives only whole-plant SECs (e.g. viscose staple 20-30 GJ/t direct energy, Table 13.13/Ch.11) without an operational breakdown, so all shares are engineering tier from rated-equipment logic. A wet-spinning (viscose/acrylic) alternative set was not supplied because no evidenced split exists; wet routes are far more steam-intensive (spin-bath evaporation, washing, drying)."
Asphalt Plant,"The 2023 ENERGY STAR asphalt guide gives a published plant-level energy split (burner 80%, hot oil heater 12%, equipment 4%, electricity 4%; 317 MJ/ton), which fixes the fuel-vector profiles directly. The electricity sub-split is not published and is engineering-tier from motor ratings; evidence is US but the plant configuration matches UK practice."
Beet Sugar Factory,"Quantitative anchors come from the PBL/MIDDEN Dutch sugar study (steam 2.805 GJ and electricity 0.557 GJ per t sugar; pulp-dryer gas 6.10 GJ/t dry pulp; lime kiln cokes 3.4 GJ/t lime); the steam sub-split and electricity split are engineering allocations because the plant is heat-integrated and no published sub-split exists. British Sugar publishes intensity trends but no end-use split; UK sites run gas CHP, so metered gas covers both steam and pulp drying."
Brewery,"Full published electricity and thermal end-use splits from the Brewers Association energy manual (US, all brewery sizes); the 35% refrigeration figure is corroborated for UK breweries by the 2015 DECC roadmap report. UK-specific Carbon Trust CTG058 was not located online."
Brickworks / clay tile/pipe works,"Process list is well evidenced (DECC Ceramic Report Sections 3.2.1-3.2.5; sector is 82% gas / 13% electricity per Section 3.3.3). No published percentage split of gas between kiln and dryer was located, so the thermal split is engineering-tier anchored to DECC Figure 10 and benchmark SEC ranges; electricity split is rated-equipment logic only. 2026-08-24: clay pit mobile plant added; metered oil attributed to it at engineering tier."
Cement Tile Works,"No published energy audit specific to concrete roof tile works was located; the process list is built from the well-documented precast/CMU analogues plus the tile-specific extrusion/pallet/coating loop, and all shares are fallback-tier borrowed from the LBNL-5342E precast (gas) and block (oil, electricity structure) profiles."
Cement Works,"Strong published evidence: LBNL/ENERGY STAR gives a complete six-way electricity breakdown for dry-process plants, and both LBNL and the UK DECC roadmap confirm essentially all combustion fuel goes to kiln pyroprocessing. Missing: a UK-specific electricity split and a separate share for clinker cooling and site services (embedded in the LBNL categories). 2026-08-24: quarry mobile plant diesel brought into scope; oil vector re-split 0.8 mobile plant / 0.2 kiln at engineering tier."
Chemical Works,"Heterogeneous activity. UKCHEM2015 gives the sector vector mix (36% electricity in 2012, Fig 6) and names the end-use categories but publishes no unit-operation split; DOECHEM2015 confirms 60% of fuel goes via boilers/CHP and that machine drives dominate electricity, without percentages by unit operation. All shares are therefore engineering tier hung on those published statements."
