unit_id,carb3_activity,process_id,min_duty,max_share,earliest_year,provenance,notes,provenance_ref
anaerobic_digester,Abattoir / Slaughter House,,,,,bref,"Supply-side unit, offered at activity level: abattoir_byproduct_ad maps it to this activity in process_decarbonisation_options.csv. process_id is blank because a supply unit serves no single process, as both worked examples' tables have it.",[CARB3_OPT_LIB]
anaerobic_digester,Distillery,,,,,bref,"Supply-side unit, offered at activity level: distillery_coproduct_ad maps it to this activity in process_decarbonisation_options.csv. process_id is blank because a supply unit serves no single process, as both worked examples' tables have it.",[CARB3_OPT_LIB]
anaerobic_digester,Mineral Production - Putrescible,pasteurisation_digester_heating,,,,bref,"Offered because biogas_upgrading_grid_injection maps this option to (Mineral Production - Putrescible, pasteurisation_digester_heating) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
battery_2h,Cement Works,,,,,comit_reuse,Reproduced verbatim from the cement worked example 1.11 unit_eligibility table. process_id blank as the table has it: a supply unit serves no process.,[CARB3_WE_CEMENT]
battery_2h,Food Processing Centre,,,,,comit_reuse,Reproduced verbatim from the food and drink worked example 1.11 unit_eligibility table. process_id blank as the table has it.,[CARB3_WE_FOODDRINK]
battery_2h,Mineral Production - Other Mineral Category,,,,,bref,"Supply-side unit, offered at activity level: quarry_floating_solar_storage maps it to this activity in process_decarbonisation_options.csv. process_id is blank because a supply unit serves no single process, as both worked examples' tables have it.",[CARB3_OPT_LIB]
battery_2h,"Mineral Production - Rock, Sand, Clay etc.",,,,,bref,"Supply-side unit, offered at activity level: quarry_floating_solar_storage maps it to this activity in process_decarbonisation_options.csv. process_id is blank because a supply unit serves no single process, as both worked examples' tables have it.",[CARB3_OPT_LIB]
blast_furnace_coke,Iron and/or Steel Works,blast_furnace_ironmaking,,,,comit_reuse,Chemistry-spine unit keyed on process_id 'blast_furnace_ironmaking' in unit.csv (D5: chemistry is node-keyed).,[CARB3_UNIT_LIST]
bof_converter_cog,Iron and/or Steel Works,bof_steelmaking,,,,comit_reuse,Chemistry-spine unit keyed on process_id 'bof_steelmaking' in unit.csv (D5: chemistry is node-keyed).,[CARB3_UNIT_LIST]
boiler_lt_biomass,Abattoir / Slaughter House,hot_water_sterilisation_cleaning,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Abattoir / Slaughter House,scalding_singeing,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Abattoir / Slaughter House,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Aircraft works,space_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Aircraft works,steam_hot_water,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Aircraft works,surface_treatment,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Aluminium Smelting Works,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Artificial Fibre Works,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Beet Sugar Factory,crystallisation_sugar_house,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Beet Sugar Factory,evaporation,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Beet Sugar Factory,extraction_diffusion,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Beet Sugar Factory,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Brewery,brewhouse,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Brewery,cip_utilities,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Brewery,packaging,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Brewery,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Brickworks / clay tile/pipe works,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Cement Tile Works,curing_chambers,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_lt60 (rank 1); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
