carb3_activity,process_set_id,set_name,is_default,process_id,process_name,is_optional,equipment_examples,provenance
Abattoir / Slaughter House,default,Red meat abattoir (beef/sheep default; pig processes optional),TRUE,refrigeration_chilling,"Refrigeration (carcass chilling, chill & freezer stores)",FALSE,ammonia refrigeration plant; blast chillers; cold stores,"[BREF_SLAUGHTER] 'At most slaughterhouses, the refrigeration plant is the biggest consumer of electricity. It can constitute 45-90% of the total site load during the working day' (Executive Summary, p ii)"
Abattoir / Slaughter House,default,Red meat abattoir (beef/sheep default; pig processes optional),TRUE,slaughter_line_processing,"Slaughter line & processing machinery (stunning, hoists, saws, hide removal, boning, effluent)",FALSE,line drives; carcass saws; hide puller; effluent plant,[FOYLE_EA] Sub-metered plantroom/process boards at a UK beef abattoir (Table 1.2)
Abattoir / Slaughter House,default,Red meat abattoir (beef/sheep default; pig processes optional),TRUE,hot_water_sterilisation_cleaning,Hot water for sterilisation & cleaning,FALSE,hot water boiler; 85°C steriliser loops; 45°C washdown,[FOYLE_EA] Single LPG boiler supplies '85°C hot water for sterilisation' and '45°C hot water for cleaning' for the whole factory (Section 1.1.2)
Abattoir / Slaughter House,default,Red meat abattoir (beef/sheep default; pig processes optional),TRUE,scalding_singeing,Scalding & singeing (pig plants),TRUE,scald tank; singe furnace,[BREF_SLAUGHTER] Pig-specific thermal operations described in BREF (document level); absent at beef/sheep plants
Abattoir / Slaughter House,default,Red meat abattoir (beef/sheep default; pig processes optional),TRUE,compressed_air,Compressed air,FALSE,air compressors,[FOYLE_EA] Two sub-metered compressors ≈11% of site electricity (Table 1.2)
Abattoir / Slaughter House,default,Red meat abattoir (beef/sheep default; pig processes optional),TRUE,site_services,"Site services (lighting, offices, canteen, space heating)",FALSE,lighting boards; offices; canteen,[FOYLE_EA] Sub-metered lighting/office/canteen circuits (Table 1.2)
Aggregate/Mineral Processing Plant / Depot,default,Fixed processing plant / rail-linked depot (no extraction),TRUE,crushing,Crushing,FALSE,cone crusher; impact crusher,[DOE_STONE] Processing-only subset of the DOE crushed rock profile (Table 9-3).
Aggregate/Mineral Processing Plant / Depot,default,Fixed processing plant / rail-linked depot (no extraction),TRUE,screening,Screening and grading,FALSE,vibrating screens,[DOE_STONE] Table 9-3 processing operation.
Aggregate/Mineral Processing Plant / Depot,default,Fixed processing plant / rail-linked depot (no extraction),TRUE,conveying,Conveying and stockpiling,FALSE,belt conveyors; radial stackers,[DOE_STONE] Table 9-3 processing operation.
Aggregate/Mineral Processing Plant / Depot,default,Fixed processing plant / rail-linked depot (no extraction),TRUE,washing_classification,Washing and classification,TRUE,sand classifiers; wash barrels; water pumps,[IERC_QUARRY] Named alongside crushing/screening as a determinant of aggregates electricity intensity; no published share located.
Aggregate/Mineral Processing Plant / Depot,default,Fixed processing plant / rail-linked depot (no extraction),TRUE,mobile_plant,Mobile plant (stockpile and load-out handling),FALSE,wheel loaders; material handlers,[NSSGA_GHG] NSSGA (p.7-8) identifies non-highway mobile equipment fuel as the dominant fuel use at aggregates operations; at a depot it is effectively the only diesel consumer.
Aggregate/Mineral Processing Plant / Depot,default,Fixed processing plant / rail-linked depot (no extraction),TRUE,site_services,Site services,FALSE,weighbridge; offices; lighting,Standard ancillary load at any staffed depot.
