parameter_id,carrier_id,period,value,unit,provenance,confidence
ef_natural_gas,natural_gas,2021,51.12,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Natural gas (100% mineral blend)"", kWh (Gross CV) 0.18405 kg CO2/kWh x 277.7778. Gross combustion CO2 before the biogenic split of spec 7.3. Combustion constant, so the same value at every period",high
ef_natural_gas,natural_gas,2025,51.12,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Natural gas (100% mineral blend)"", kWh (Gross CV) 0.18405 kg CO2/kWh x 277.7778. Gross combustion CO2 before the biogenic split of spec 7.3. Combustion constant, so the same value at every period",high
ef_natural_gas,natural_gas,2030,51.12,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Natural gas (100% mineral blend)"", kWh (Gross CV) 0.18405 kg CO2/kWh x 277.7778. Gross combustion CO2 before the biogenic split of spec 7.3. Combustion constant, so the same value at every period",high
ef_natural_gas,natural_gas,2035,51.12,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Natural gas (100% mineral blend)"", kWh (Gross CV) 0.18405 kg CO2/kWh x 277.7778. Gross combustion CO2 before the biogenic split of spec 7.3. Combustion constant, so the same value at every period",high
ef_natural_gas,natural_gas,2040,51.12,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Natural gas (100% mineral blend)"", kWh (Gross CV) 0.18405 kg CO2/kWh x 277.7778. Gross combustion CO2 before the biogenic split of spec 7.3. Combustion constant, so the same value at every period",high
ef_natural_gas,natural_gas,2045,51.12,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Natural gas (100% mineral blend)"", kWh (Gross CV) 0.18405 kg CO2/kWh x 277.7778. Gross combustion CO2 before the biogenic split of spec 7.3. Combustion constant, so the same value at every period",high
ef_natural_gas,natural_gas,2050,51.12,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Natural gas (100% mineral blend)"", kWh (Gross CV) 0.18405 kg CO2/kWh x 277.7778. Gross combustion CO2 before the biogenic split of spec 7.3. Combustion constant, so the same value at every period",high
ef_biomethane,biomethane,2021,55.28,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biomethane (compressed)"", 55.28 kg CO2/GJ net CV = 55.28 kt/PJ. Combustion constant, so the same value at every period",high
ef_biomethane,biomethane,2025,55.28,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biomethane (compressed)"", 55.28 kg CO2/GJ net CV = 55.28 kt/PJ. Combustion constant, so the same value at every period",high
ef_biomethane,biomethane,2030,55.28,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biomethane (compressed)"", 55.28 kg CO2/GJ net CV = 55.28 kt/PJ. Combustion constant, so the same value at every period",high
ef_biomethane,biomethane,2035,55.28,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biomethane (compressed)"", 55.28 kg CO2/GJ net CV = 55.28 kt/PJ. Combustion constant, so the same value at every period",high
ef_biomethane,biomethane,2040,55.28,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biomethane (compressed)"", 55.28 kg CO2/GJ net CV = 55.28 kt/PJ. Combustion constant, so the same value at every period",high
ef_biomethane,biomethane,2045,55.28,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biomethane (compressed)"", 55.28 kg CO2/GJ net CV = 55.28 kt/PJ. Combustion constant, so the same value at every period",high
