carb3_activity,process_set_id,process_id,vector,energy_share,share_low,share_high,evidence_tier,provenance,confidence
Abattoir / Slaughter House,default,compressed_air,electricity,0.1,,,published_sec,"[FOYLE_EA] Sub-metered compressors 105,393 kWh of 935,236 kWh ≈ 11% (Table 1.2)",medium
Abattoir / Slaughter House,default,refrigeration_chilling,electricity,0.5,0.44,0.65,published_sec,"[DECC2015FD] Meat/poultry/fish processing refrigeration = 50% of electricity (Section 3.2.7, p35); BREF range 45-90% (Exec Summary p ii); Foyle sub-metering shows 44% (Table 1.2)",high
Abattoir / Slaughter House,default,site_services,electricity,0.2,,,engineering,[FOYLE_EA] Lighting + office + canteen ≈14% plus unmonitored 6% at Foyle (Table 1.2),medium
Abattoir / Slaughter House,default,slaughter_line_processing,electricity,0.2,,,engineering,[FOYLE_EA] Process plantroom boards ≈24% of sub-metered load at Foyle (Table 1.2); rounded within remaining balance,medium
Abattoir / Slaughter House,default,hot_water_sterilisation_cleaning,gas,0.85,,,engineering,[FOYLE_EA] At the evidenced UK site 100% of LPG feeds one hot-water boiler for sterilisation and cleaning (Section 1.1.2); generic allowance made for space heating,medium
Abattoir / Slaughter House,default,site_services,gas,0.15,,,engineering,Space heating of amenity/office areas at larger sites,medium
Aggregate/Mineral Processing Plant / Depot,default,conveying,electricity,0.05,,,published_sec,"[DOE_STONE] Table 9-3, p.9-9: conveying 165 of 3,152 Btu/ton.",medium
Aggregate/Mineral Processing Plant / Depot,default,crushing,electricity,0.84,,,published_sec,"[DOE_STONE] Table 9-3, p.9-9 (processing operations only, which is exactly the scope of this activity): crushing 2,655 of 3,152 Btu/ton electric.",medium
Aggregate/Mineral Processing Plant / Depot,default,screening,electricity,0.11,,,published_sec,"[DOE_STONE] Table 9-3, p.9-9: screening 332 of 3,152 Btu/ton.",medium
Aggregate/Mineral Processing Plant / Depot,default,mobile_plant,oil,1.0,,,engineering,"[NSSGA_GHG] Engineering rationale: with no extraction, drilling or long-distance internal haulage, wheel loaders/material handlers are the only significant gas-oil consumers; NSSGA (p.7-8) confirms mobile equipment is the dominant fuel use at aggregates sites generally.",medium
Aircraft works,default,machine_drive,electricity,0.29,,,published_sec,"[MECS2022_T52] MECS 2022 Table 5.2, NAICS 3364: machine drive ~9 of ~32 TBtu allocated net electricity. Transcription of this block was noisy; values reconstructed from the fetched PDF and validated against process/nonprocess subtotals and the sector total, which are mutually consistent. Sector-level US proxy.",medium
Aircraft works,default,other_process,electricity,0.03,,,published_sec,[MECS2022_T52] NAICS 3364 other process ~1/32.,medium
Aircraft works,default,process_cooling,electricity,0.1,,,published_sec,[MECS2022_T52] NAICS 3364 process cooling ~3/32.,medium
Aircraft works,default,process_heating,electricity,0.13,,,published_sec,[MECS2022_T52] NAICS 3364 process heating electricity ~4/32 (same reconstruction caveat).,medium
Aircraft works,default,site_services,electricity,0.45,,,published_sec,[MECS2022_T52] NAICS 3364 facility HVAC ~8 + lighting 5 + other facility ~1 = ~14/32; aerospace is notably site-services-heavy versus other manufacturing.,medium
Aircraft works,default,other_process,gas,0.04,,,published_sec,[MECS2022_T52] NAICS 3364 other process gas ~1/28.,medium
Aircraft works,default,process_heating,gas,0.22,,,published_sec,"[MECS2022_T52] NAICS 3364 natural gas process heating ~6 of ~28 TBtu allocated (autoclaves, heat treatment, ovens); reconstruction validated against subtotals.",medium
